query,cluster
stomach/abdominal pain for 3+ months,0
other diseases of pancreas,0
flatulence and related conditions,0
rodent ulcer,0
gastro oesophageal reflux disease,0
prolapsed disc/slipped disc,0
diabetic neuropathy/ulcers,0
dementia in alzheimer s disease,0
"other soft tissue disorders, not elsewhere classified",0
gastric/stomach ulcers,0
oesophagitis/barretts oesophagus,0
lymphadenopathy,0
macular degeneration,0
other injuries involving multiple body regions,0
hiv disease resulting in other specified diseases,0
mental and behavioural disorders due to use of hallucinogens,0
mental and behavioural disorders due to use of alcohol,0
personal history of malignant neoplasm,0
maternal care for known or suspected foetal abnormality and damage,0
injury of muscle and tendon at hip and thigh level,0
other congenital malformations of face and neck,0
other abdominal problem,0
other symptoms and signs involving the digestive system and abdomen,0
spine arthritis/spondylitis,0
cholelithiasis/gall stones,0
other arthrosis,0
paralytic strabismus,0
persons encountering health services in other circumstances,0
nasal/sinus disorder,0
chronic sinusitis,0
basal cell carcinoma,0
cervical polyps,0
maximum heart rate during fitness test,0
sunburn,0
nonrheumatic mitral valve disorders,0
hereditary ataxia,0
muscle/soft tissue problem,0
other abnormal uterine and vaginal bleeding,0
disc problem,0
pernicious anaemia,0
malignant neoplasm of bronchus and lung,0
oesophageal disorder,0
insomnia,0
thyrotoxicosis [hyperthyroidism],0
gastro-oesophageal reflux (gord) / gastric reflux,0
perineal laceration during delivery,0
pyothorax,0
pemphigoid,0
calculus of lower urinary tract,0
bladder problem (not cancer),0
acute tubulo-interstitial nephritis,0
other anaemias,0
"dislocation, sprain and strain of joints and ligaments of shoulder girdle",0
wegners granulmatosis,0
rheumatic fever,0
schizophrenia,0
acne/acne vulgaris,0
birth weight,0
follow-up examination after treatment for conditions other than malignant neoplasms,0
other peripheral vascular diseases,0
thyroid radioablation therapy,0
hepatitis c,0
nervous breakdown,0
anal fissure,0
adrenocortical insufficiency/addison's disease,0
cranial nerve problem/palsy,0
breast disease (not cancer),0
peripheral nerve disorder,0
small kidney of unknown cause,0
muscle or soft tissue injuries,0
oesophageal stricture,0
other disorders of lens,0
open wound of head,0
neck problem/injury,0
dementia/alzheimers/cognitive impairment,0
"malignant neoplasm of kidney, except renal pelvis",0
oesophagitis,0
carrier of infectious disease,0
soft tissue inflammation,0
other congenital malformations of heart,0
ovarian dysfunction,0
scleroderma/systemic sclerosis,0
otalgia and effusion of ear,0
abnormal smear (cervix),0
current tobacco smoking,0
other disorders of urinary system,0
problems related to life management difficulty,0
spondylopathies in diseases classified elsewhere,0
other acquired deformities of limbs,0
fibrocystic disease,0
whole body water mass,0
seborrhoeic keratosis,0
other intervertebral disk disorders,0
peptic ulcer,0
malignant neoplasm of other and unspecified parts of tongue,0
sequelae of other effects of external causes,0
ascites,0
fever of unknown origin,0
other disorders of gingiva and edentulous alveolar ridge,0
nervous feelings,0
respiratory infection,0
retinal problem,0
obsessive compulsive disorder (ocd),0
fracture tibia,0
dysphagia,0
eccrine sweat disorders,0
leg pain on walking,0
heartburn,0
acute pancreatitis,0
benign / essential tremor,0
number of spontaneous miscarriages,0
number of live births,0
exposure to tobacco smoke at home,0
meningococcal infection,0
"tubulo-interstitial nephritis, not specified as acute or chronic",0
benign neoplasm of middle ear and respiratory system,0
dizziness and giddiness,0
other rheumatic heart diseases,0
breast cancer,0
diabetic eye disease,0
hereditary and idiopathic neuropathy,0
other renal/kidney problem,0
shoulder lesions,0
maternal care for known or suspected disproportion,0
hiv/aids,0
dermatitis due to substances taken internally,0
fracture patella / knee,0
pneumonia,0
neoplasm of uncertain or unknown behaviour of endocrine glands,0
atrioventricular and left bundle-branch block,0
fracture shoulder / scapula,0
food intolerance,0
lichen planus,0
lymphoedema,0
rapidly progressive nephritic syndrome,0
alopecia areata,0
disorders of male genital organs in diseases classified elsewhere,0
joint disorder,0
fracture neck of femur / hip,0
fracture jaw,0
other diseases of inner ear,0
abnormal findings in cerebrospinal fluid,0
crushing injury of shoulder and upper arm,0
cachexia,0
hiv disease resulting in infectious and parasitic diseases,0
unspecified arthropod borne viral fever,0
chronic ischaemic heart disease,0
benign mammary dysplasia,0
congenital malformations of oesophagus,0
syndactyly,0
encephalitis myelitis and encephalomyelitis,0
atrial fibrillation and flutter,0
unspecified contracted kidney,0
sequelae of cerebrovascular disease,0
unspecified urinary incontinence,0
supervision of normal pregnancy,0
hookworm diseases,0
polyarthrosis,0
thiamine deficiency,0
female infertility,0
sleep disorders,0
hyperfunction of pituitary gland,0
meningitis due to other causes,0
open wounds involving multiple body regions,0
hip circumference,0
venous thromboembolic disease,0
congenital malformations of larynx,0
prophylactic surgery,0
other orthopaedic follow up care,0
pulmonary fibrosis,0
umbilical hernia,0
family history of malignant neoplasm,0
nonrheumatic aortic valve disorders,0
mental and behavioural disorders due to use of tobacco,0
depression,0
mania/bipolar disorder/manic depression,0
arthrosis of first carpometacarpal joint,0
brain cancer / primary malignant brain tumour,0
sequelae of injuries of head,0
other rheumatoid arthritis,0
diseases of pulp and periapical tissues,0
standing height,0
injury of intra abdominal organs,0
other diseases of jaws,0
other spirochaetal infections,0
crushing injury of head,0
disseminated intravascular coagulation,0
seropositive rheumatoid arthritis,0
other infestations,0
depressive episode,0
pemphigus,0
phlebitis and thrombophlebitis,0
unspecified renal colic,0
disorders of lacrimal system and orbit in diseases classified elsewhere,0
spontaneous abortion,0
viral meningitis,0
peritonitis,0
injury of nerves at hip and thigh level,0
acute hepatitis a,0
renal failure requiring dialysis,0
allergic contact dermatitis,0
ventral hernia,0
gestational hypertension with significant proteinuria,0
hypoparathyroidism,0
hyperaldosteronism,0
unspecified acute lower respiratory infection,0
pruritus,0
unspecified haematuria,0
recurrent depressive disorder,0
dorsalgia,0
disorders of globe,0
other rickettsioses,0
endocarditis valve unspecified,0
unspecified maternal hypertension,0
alzheimer s disease,0
family history of other conditions,0
other endocrine disorders,0
sequelae of injuries of neck and trunk,0
other diseases of liver,0
primary disorders of muscles,0
pervasive developmental disorders,0
dislocations sprains and strains involving multiple body regions,0
other cerebrovascular diseases,0
congenital malformations of gallbladder bile ducts and liver,0
excessive vomiting in pregnancy,0
heart arrhythmia,0
functional disorders of polymorphonuclear neutrophils,0
phobic anxiety disorders,0
seborrhoeic dermatitis,0
unspecified human immunodeficiency virus,0
rosacea,0
osteochondrodysplasia with defects of growth of tubular bones and spine,0
sequelae of burns corrosions and frostbite,0
glycosuria,0
which eye(s) are affected by cataract: right eye,0
pulse wave arterial stiffness index,0
parathyroid hyperplasia/adenoma,0
burns classified according to extent of body surface involved,0
burn and corrosion of ankle and foot,0
other congenital malformations of upper alimentary tract,0
injury of heart,0
superficial injury of abdomen lower back and pelvis,0
ureteric obstruction/hydronephrosis,0
oesophageal varices,0
open wound of hip and thigh,0
congenital deformities of feet,0
kidney stone/ureter stone/bladder stone,0
eye/eyelid problem,0
general pain for 3+ months,0
length of menstrual cycle,0
liver failure/cirrhosis,0
fracture of lower limb level unspecified,0
abnormalities of breathing,0
personality disorder,0
hearing difficulty/problems with background noise,0
spontaneous pneumothorax/recurrent pneumothorax,0
other disorders of cornea,0
other disorders of eye and adnexa in diseases classified elsewhere,0
contraceptive management,0
other special examinations and investigations of persons without complaint or reported diagnosis,0
osteoporosis without pathological fracture,0
age at first live birth,0
number of full sisters,0
"dislocation, sprain and strain of joints and ligaments at neck level",0
hand grip strength (right),0
hand grip strength (left),0
exposure to tobacco smoke outside home,0
hair/balding pattern: pattern 2,0
relative age voice broke,0
septicaemia / sepsis,0
hypothyroidism/myxoedema,0
myositis/myopathy,0
gastroenteritis/dysentry,0
congenital malformations of posterior segment of eye,0
copd (chronic obstructive pulmonary disease),0
other venous embolism and thrombosis,0
non insulin dependent diabetes mellitus,0
polyhydramnios,0
cardiac arrest,0
other septicaemia,0
arterial embolism and thrombosis,0
squamous cell carcinoma,0
chest pain or discomfort,0
faecal incontinence,0
ever manic/hyper for 2 days,0
which eye(s) are affected by cataract: left eye,0
whole body fat mass,0
lung cancer (not mesothelioma),0
bronchiectasis,0
asthma,0
body fat percentage,0
age at last live birth,0
weight,0
ever highly irritable/argumentative for 2 days,0
injury of nerves at lower leg level,0
rectal cancer,0
colon cancer/sigmoid cancer,0
stomach cancer,0
oesophageal cancer,0
eye and/or adnexal cancer,0
superficial injury of head,0
need for immunization against other single viral diseases,0
need for immunization against certain single viral diseases,0
fistulae involving female genital tract,0
multiple gestation,0
diabetes,0
skin cancer,0
postpartum haemorrhage,0
disturbances of skin sensation,0
need for immunization against other single infectious diseases,0
need for immunization against combinations of infectious diseases,0
renal tubulo interstitial disorders in diseases classified elsewhere,0
other mosquito borne viral fevers,0
cutaneous abscess furuncle and carbuncle,0
other congenital malformations of ear,0
had menopause,0
abnormality of movement,0
"dislocation, sprain and strain of joints and ligaments at ankle and foot level",0
abnormal results of function studies,0
osteoporosis with pathological fracture,0
eclampsia,0
internal derangement of knee,0
deep venous thrombosis (dvt),0
uremia,0
retained placenta and membranes without haemorrhage,0
urinary frequency / incontinence,0
calcification and ossification of muscle,0
niacin deficiency,0
unspecified appendicitis,0
chronic myeloid,0
staphylococcal scalded skin syndrome,0
impetigo,0
fracture of femur,0
retinal vascular occlusions,0
neoplasm of uncertain or unknown behaviour of female genital organs,0
subarachnoid haemorrhage,0
respiratory disorders in diseases classified elsewhere,0
other acute ischaemic heart diseases,0
"other disorders of skin and subcutaneous tissue, not elsewhere classified",0
pyogenic arthritis,0
schistosomiasis,0
pneumoconiosis due to other inorganic dusts,0
corns and callosities,0
acute pericarditis,0
thyroiditis,0
acute and transient psychotic disorders,0
"mental disorder, not otherwise specified",0
"other joint disorders, not elsewhere classified",0
disorders of vitreous body,0
other necrotising vasculopathies,0
elevated blood glucose level,0
"sexual dysfunction, not caused by organic disorder or disease",0
bipolar affective disorder,0
other retinal disorders,0
superficial injury of thorax,0
benign neoplasm of thyroid gland,0
purpura and other haemorrhagic conditions,0
malignant melanoma of skin,0
malignant neoplasm of pancreas,0
testicular cancer,0
malignant neoplasm of larynx,0
malignant neoplasm of corpus uteri,0
"pneumonia, organism unspecified",0
postinfective and reactive arthropathies in diseases classified elsewhere,0
tonsiltis,0
follicular [nodular] non-hodgkin's lymphoma,0
infectious mononucleosis,0
pityriasis rosea,0
multiple myeloma and malignant plasma cell neoplasms,0
"reaction to severe stress, and adjustment disorders",0
other local infections of skin and subcutaneous tissue,0
peritonsillar abscess,0
follow-up care involving plastic surgery,0
secondary and unspecified malignant neoplasm of lymph nodes,0
malignant neoplasm of tonsil,0
other disorders of thyroid,0
pneumonia due to streptococcus pneumoniae,0
vitamin d deficiency,0
disorders of eyelid in diseases classified elsewhere,0
pulmonary embolism,0
pulmonary embolism +/- dvt,0
mosquito borne viral encephalitis,0
alcohol intake frequency.,0
disorders of vestibular function,0
acute and subacute endocarditis,0
psoriatic and enteropathic arthropathies,0
gonarthrosis,0
other non-infective gastro-enteritis and colitis,0
other disorders of arteries and arterioles,0
other diseases of anus and rectum,0
other conduction disorders,0
other disorders of eyelid,0
other diseases of digestive system,0
"postprocedural disorders of digestive system, not elsewhere classified",0
waist circumference,0
hiv disease resulting in malignant neoplasms,0
disorders of conjunctiva in diseases classified elsewhere,0
"poisoning by nonopioid analgesics, antipyretics and antirheumatics",0
"postprocedural disorders of eye and adnexa, not elsewhere classified",0
plasmodium vivax malaria,0
dysplasia of cervix uteri,0
"bacterial pneumonia, not elsewhere classified",0
polyp of female genital tract,0
hyperparathyroidism and other disorders of parathyroid gland,0
juvenile osteochondrosis of hip and pelvis,0
synovitis and tenosynovitis,0
carcinoma in situ of breast,0
mesothelioma,0
benign neoplasm of brain and other parts of central nervous system,0
nasal polyp,0
gender identity disorders,0
benign neoplasm of ovary,0
carcinoma in situ of skin,0
benign neoplasm of other and unspecified female genital organs,0
nonrheumatic tricuspid valve disorders,0
malignant neoplasm of breast,0
"heel bone mineral density (bmd) t-score, automated (left)",0
other symptoms and signs involving the urinary system,0
other symptoms and signs involving the nervous and musculoskeletal systems,0
acanthosis nigricans,0
myeloid leukaemia,0
crushing injuries involving multiple body regions,0
rheumatic fever without mention of heart involvement,0
basal metabolic rate,0
attention to artificial openings,0
irritable bowel syndrome,0
taeniasis,0
femoral hernia,0
scarlet fever,0
glaucoma,0
spina bifida,0
postpartum care and examination,0
diabetes mellitus in pregnancy,0
effects of air pressure and water pressure,0
antenatal screening,0
"certain early complications of trauma, not elsewhere classified",0
procedures for purposes other than remedying health state,0
viral conjunctivitis,0
malignant neoplasm of cervix uteri,0
angina pectoris,0
malignant neoplasm of stomach,0
fluid intelligence score,0
allergy or anaphylactic reaction to food,0
schizoaffective disorders,0
multiple myeloma,0
anogenital herpesviral infection,0
cholelithiasis,0
"pulse rate, automated reading",0
subdural haemorrhage/haematoma,0
cleft palate,0
varicella,0
other diseases of oesophagus,0
cryptococcosis,0
histoplasmosis,0
other inflammation of eyelid,0
osteoporosis in diseases classified elsewhere,0
keratitis,0
leptospirosis,0
acute poliomyelitis,0
suppurative and unspecified otitis media,0
isolated proteinuria,0
osteonecrosis,0
toxoplasmosis,0
enduring personality changes not attributable to brain damage and disease,0
hydrocephalus,0
echinococcosis,0
gout,0
cholecystitis,0
"convulsions, not elsewhere classified",0
malignant neoplasm of rectum,0
stroke not specified as haemorrhage or infarction,0
"somnolence, stupor and coma",0
foreign body in respiratory tract,0
injury of unspecified body region,0
injury of muscle and tendon at wrist and hand level,0
fracture of neck,0
open wound of wrist and hand,0
other and unspecified injuries of wrist and hand,0
traumatic amputation of wrist and hand,0
"other and unspecified injuries of abdomen, lower back and pelvis",0
superficial injury of lower leg,0
injury of muscle and tendon at shoulder and upper arm level,0
crushing injury of wrist and hand,0
congenital malformations of ear causing impairment of hearing,0
intracranial injury,0
marasmus,0
headaches for 3+ months,0
"open wound of abdomen, lower back and pelvis",0
other general symptoms and signs,0
"oedema, not elsewhere classified",0
voice disturbances,0
tongue cancer,0
other and specified injuries of hip and thigh,0
malaise and fatigue,0
chronic viral hepatitis,0
chronic lymphocytic,0
personal history of other diseases and conditions,0
diarrhoea and gastro-enteritis of presumed infectious origin,0
unspecified viral infection of cns,0
sequelae of toxic effects of substances chiefly nonmedicinal as to source,0
intracerebral haemorrhage,0
acute lymphadenitis,0
varicose veins of other sites,0
malignant neoplasm of anus and anal canal,0
alcoholic liver disease,0
iron deficiency anaemia,0
syncope and collapse,0
senility,0
"speech disturbances, not elsewhere classified",0
cervical cancer,0
ovarian cancer,0
other symptoms and signs involving cognitive functions and awareness,0
bladder cancer,0
prostate cancer,0
abnormal findings on diagnostic imaging of lung,0
injury of nerves at wrist and hand level,0
superficial injuries involving multiple body regions,0
other disorders of eustachian tube,0
meningitis,0
respiratory tuberculosis not confimed,0
mental and behavioural disorders due to use of cocaine,0
mental and behavioural disorders due to use of cannabinoids,0
persistent mood,0
other respiratory problems,0
other mood,0
toxic effect of other gases fumes and vapours,0
fracture toe,0
sitting height,0
bring up phlegm/sputum/mucus on most days,0
mycetoma,0
toxic effect of soaps and detergents,0
"persons encountering health services for other counselling and medical advice, not elsewhere classified",0
immunodeficiency with predominantly antibody defects,0
headaches (not migraine),0
other congenital malformations of intestine,0
vasculitis,0
disorders of continuity of bone,0
anxiety/panic attacks,0
respiratory tuberculosis confimed,0
cataract,0
other cataract,0
cervicitis,0
fractures involving multiple body regions,0
pulse rate,0
fracture of skull and facial bones,0
bone disorder,0
hypertensive renal disease,0
chlamydia psittaci infection,0
convalescence,0
leg pain when standing still or sitting,0
special screening examination for other diseases and disorders,0
other postsurgical states,0
complications of other internal prosthetic devices implants and grafts,0
foreign body in alimentary tract,0
complications of internal orthopaedic prosthetic devices implants and grafts,0
bowel / intestinal obstruction,0
other injuries of upper limb level unspecified,0
other injuries of lower limb level unspecified,0
plasmodium falciparum malaria,0
malaria,0
insulin dependent diabetes mellitus,0
renal/kidney failure,0
abnormal leukocyte morphology,0
other dermatitis,0
"other noninflammatory disorders of uterus, except cervix",0
other surgical follow-up care,0
duodenal ulcer,0
other disorders of synovium and tendon,0
myiasis,0
optic neuritis,0
"postprocedural disorders of genito-urinary system, not elsewhere classified",0
placenta praevia,0
ascariasis,0
"excessive, frequent and irregular menstruation",0
other noninflammatory disorders of vulva and perineum,0
other noninflammatory disorders of vagina,0
other noninflammatory disorders of cervix uteri,0
actinomycosis,0
paget s disease of bone,0
hypotension,0
fitting and adjustment of external prosthetic device,0
shigellosis,0
other disorders of teeth and supporting structures,0
other vitamin deficiencies,0
other disorders of bone,0
symptoms and signs concerning food and fluid intake,0
unknown and unspecified causes of morbidity,0
other abnormal immunological findings in serum,0
special screening examination for infectious and parasitic diseases,0
examination and observation for other reasons,0
medical observation and evaluation for suspected diseases and conditions,0
false labour,0
"antepartum haemorrhage, not elsewhere classified",0
other disorders of amniotic fluid and membranes,0
adjustment and management of implanted device,0
other deforming dorsopathies,0
maternal care for other known or suspected foetal problems,0
special screening examination for neoplasms,0
malignant neoplasm of liver and intrahepatic bile ducts,0
other medical care,0
malignant neoplasm of bladder,0
malignant neoplasm of eye and adnexa,0
pain in throat and chest,0
other symptoms and signs involving the circulatory and respiratory systems,0
malignant neoplasm of thyroid gland,0
"adverse effects, not elsewhere classified",0
rash and other nonspecific skin eruption,0
other abnormal findings of blood chemistry,0
haemorrhage in early pregnancy,0
pituitary adenoma/tumour,0
acquired absence of limb,0
abnormality of red blood cells,0
number of stillbirths,0
bronchitis,0
target heart rate achieved,0
fracture vertebra / crush fracture / vertebral collapse,0
diffuse non-hodgkin's lymphoma,0
small intestine/small bowel cancer,0
mean time to correctly identify matches,0
large bowel cancer/colorectal cancer,0
longest period of depression,0
leg pain in calf/calves,0
facial pains for 3+ months,0
uterine/endometrial cancer,0
liver/hepatocellular cancer,0
tuberculosis (tb),0
other chronic obstructive pulmonary disease,0
cancer diagnosed by doctor,0
diabetes diagnosed by doctor,0
chest pain felt during physical activity,0
"forced expiratory volume in 1-second (fev1), best measure",0
emphysema/chronic bronchitis,0
allergy/hypersensitivity/anaphylaxis,0
neutropenia/lymphopenia,0
ever depressed for a whole week,0
hypoglycemic coma,0
other nutritional deficiencies,0
other helminthiases,0
anaemia,0
brain haemorrhage,0
diverticular disease of intestine,0
premature separation of placenta,0
retention of urine,0
polio / poliomyelitis,0
"forced vital capacity (fvc), best measure",0
adult osteomalacia,0
grave's disease,0
erectile dysfunction / impotence,0
prostatitis,0
varicose veins,0
visual disturbances,0
haemorrhage from respiratory passages,0
non-melanoma skin cancer,0
"loneliness, isolation",0
larynx/throat cancer,0
trigemminal neuralgia,0
forced vital capacity (fvc),0
age completed full time education,0
eczema/dermatitis,0
severity of manic/irritable episodes,0
miserableness,0
surgery on leg arteries (other than for varicose veins),0
sarcoma/fibrosarcoma,0
rheumatic aortic valve diseases,0
allergy to house dust mite,0
rheumatic mitral valve diseases,0
foreign body in ear,0
other fluke infections,0
allergy or anaphylactic reaction to drug,0
toxic effect of pesticides,0
fibrosing alveolitis/unspecified alveolitis,0
disorders of mineral metabolism,0
care involving use of rehabilitation procedures,0
intrauterine hypoxia,0
routine general health check up of defined subpopulation,0
other obstetric trauma,0
hepatic failure,0
abnormalities of forces of labour,0
injury of blood vessels at abdomen lower back and pelvis level,0
disorders of sclera and cornea in diseases classified elsewhere,0
zoster,0
ear/vestibular disorder,0
comparative body size at age 10,0
ever unenthusiastic/disinterested for a whole week,0
shortness of breath walking on level ground,0
cochlear implant,0
general examination and investigation of persons without complaint or reported diagnosis,0
falls in the last year,0
glomerular disorders in diseases classified elsewhere,0
number of full brothers,0
father's age at death,0
mother's age at death,0
appendicitis,0
worry too long after embarrassment,0
tense / 'highly strung',0
fracture upper arm / humerus / elbow,0
chronic/degenerative neurological problem,0
renal failure not requiring dialysis,0
past tobacco smoking,0
hair/balding pattern: pattern 3,0
years of cough on most days,0
dyspepsia,0
number of self-reported cancers,0
fracture of shoulder and upper arm,0
cervical disc disorders,0
embedded and impacted teeth,0
pyoderma gangrenosum,0
subclinical iodine deficiency hypothyroidism,0
back pain,0
disorders of vitreous body and globe in diseases classified elsewhere,0
polyarteritis nodosa and related conditions,0
knee pain for 3+ months,0
chest pain due to walking ceases when standing still,0
subsequent myocardial infarction,0
other ill defined and unspecified causes of mortality,0
other spondylopathies,0
crohn s disease,0
congenital malformations of great arteries,0
multiple sclerosis,0
ankylosing spondylitis,0
atherosclerosis,0
cleft lip,0
androgenic alopecia,0
hypospadias,0
conduct disorders,0
nephritis,0
alcohol dependency,0
polymyalgia rheumatica,0
premature rupture of membranes,0
systemic lupus erythematosis/sle,0
guilty feelings,0
overall health rating,0
fracture face / orbit / eye socket,0
fracture of lumbar spine and pelvis,0
other functional intestinal disorders,0
other disorders of nose and nasal sinuses,0
other disorders of peripheral nervous system,0
hypopituitarism,0
dermatopolymyositis,0
incisional hernia,0
lack of food,0
abnormalities of heart beat,0
nasal polyps,0
connective tissue disorder,0
acute hepatitis b,0
complications and ill defined descriptions of heart disease,0
osteopathies in diseases classified elsewhere,0
infections of genitourinary tract in pregnancy,0
other extrapyramidal and movement disorders,0
sjogren's syndrome/sicca syndrome,0
inflammatory diseases of prostate,0
acute myocardial infarction,0
cellulitis,0
other specified diabetes mellitus,0
unspecified nephritic syndrome,0
measles / morbillivirus,0
essential primary hypertension,0
congenital malformations of eyelid lacrimal apparatus and orbit,0
acute nephritic syndrome,0
cicatricial alopecia,0
hypertrichosis,0
other disorders of nervous system,0
rubella / german measles,0
polyuria,0
