query,cluster
rheumatic fever with heart involvement,-1
orchitis and epididymitis,-1
occlusion and stenosis of cerebral arteries notcerebral infarction,-1
haemorrhage from respiratory passages,-1
"persons encountering health services for specifie procedures, not carried out",-1
transplanted organ and tissue status,-1
traumatic amputations involving multiple body regions,-1
eccrine sweat disorders,-1
rapidly progressive nephritic syndrome,-1
cascot confidence score,-1
maternal care for known or suspected disproportion,-1
shoulder lesions,-1
eye trauma,-1
diabetic eye disease,-1
trapped nerve/compressed nerve,-1
peripheral nerve disorder,-1
spinal cord disorder,-1
cranial nerve problem/palsy,-1
neurological injury/trauma,-1
adrenocortical insufficiency/addison's disease,-1
nervous breakdown,-1
thyroid radioablation therapy,-1
testicular problems (not cancer),-1
prostate problem (not cancer),-1
bladder problem (not cancer),-1
oesophageal stricture,-1
other abdominal problem,-1
procreative management,-1
reported occurrences of cancer,-1
whole body water mass,-1
thyroid problem (not cancer),-1
maternal care for known or suspected malpresentation of fetus,-1
back problem,-1
breast disease (not cancer),-1
spondylopathies in diseases classified elsewhere,-1
volume depletion,-1
problems related to life management difficulty,-1
problems related to social environment,-1
benign breast lump,-1
abnormal smear (cervix),-1
soft tissue inflammation,-1
cervical polyps,-1
uterine polyps,-1
neck problem/injury,-1
blistering/desquamating skin disorder,-1
hereditary/genetic haematological disorder,-1
clotting disorder/excessive bleeding,-1
vocal cord polyp,-1
throat or larynx disorder,-1
burns,-1
muscle or soft tissue injuries,-1
enlarged prostate,-1
disc problem,-1
fracture metatarsal,-1
fracture foot,-1
fracture fibula,-1
chronic fatigue syndrome,-1
rheumatic fever,-1
psoriatic arthropathy,-1
sciatica,-1
hiatus hernia,-1
high cholesterol,-1
atrial fibrillation,-1
anorexia/bulimia/other eating disorder,-1
irregular heart beat,-1
post-traumatic stress disorder,-1
crohns disease,-1
inflammatory bowel disease,-1
rectal or colon adenoma/polyps,-1
colitis/not crohns or ulcerative colitis,-1
diverticular disease/diverticulitis,-1
malabsorption/coeliac disease,-1
chronic skin ulcers,-1
psoriasis,-1
osteoarthritis,-1
anaemia,-1
brain haemorrhage,-1
lymphoedema,-1
iritis,-1
dry eyes,-1
polio / poliomyelitis,-1
benign / essential tremor,-1
trigemminal neuralgia,-1
grave's disease,-1
erectile dysfunction / impotence,-1
prostatitis,-1
varicose veins,-1
bph / benign prostatic hypertrophy,-1
abdominal hernia,-1
jaundice (unknown cause),-1
haemorrhoids / piles,-1
anal fissure,-1
pyloric stenosis,-1
vertigo,-1
labyrinthitis,-1
pneumothorax,-1
inguinal hernia,-1
post-natal depression,-1
hiv/aids,-1
myasthenia gravis,-1
fibrocystic disease,-1
vaginal prolapse/uterine prolapse,-1
uterine fibroids,-1
polycystic ovaries/polycystic ovarian syndrome,-1
ovarian cyst or cysts,-1
thalassaemia,-1
pernicious anaemia,-1
low platelets/platelet disorder,-1
breast cysts,-1
osteoporosis,-1
deliberate self-harm/suicide attempt,-1
retinal artery/vein occlusion,-1
retinal detachment,-1
retinal problem,-1
eye infection,-1
spinal injury,-1
dementia/alzheimers/cognitive impairment,-1
parkinsons disease,-1
bone disorder,-1
polycythaemia vera,-1
vasculitis,-1
giant cell/temporal arteritis,-1
headaches (not migraine),-1
"other predominantly sexually transmitted diseases, not elsewhere classified",-1
hypopituitarism,-1
polycystic kidney,-1
myocarditis,-1
cerebral aneurysm,-1
meniere's disease,-1
nasal polyps,-1
connective tissue disorder,-1
chronic sinusitis,-1
peptic ulcer,-1
pneumonia,-1
hayfever/allergic rhinitis,-1
scleroderma/systemic sclerosis,-1
sjogren's syndrome/sicca syndrome,-1
systemic lupus erythematosis/sle,-1
wegners granulmatosis,-1
polymyalgia rheumatica,-1
alcohol dependency,-1
disc degeneration,-1
back pain,-1
spinal stenosis,-1
number of spontaneous miscarriages,-1
knee pain for 3+ months,-1
chest pain due to walking ceases when standing still,-1
number of live births,-1
overall health rating,-1
risk taking,-1
guilty feelings,-1
nervous feelings,-1
pulse wave reflection index,-1
fed-up feelings,-1
comparative height size at age 10,-1
hearing difficulty/problems: yes,-1
undescended testicle,-1
scarlet fever / scarlatina,-1
alopecia / hair loss,-1
menopausal symptoms / menopause,-1
dysmenorrhoea / dysmenorrhea,-1
cervical erosion,-1
sensitivity / hurt feelings,-1
meningioma / benign meningeal tumour,-1
family relationship satisfaction,-1
prospective memory result,-1
fracture lower leg / ankle,-1
fracture patella / knee,-1
fracture neck of femur / hip,-1
fracture pelvis,-1
fracture rib,-1
fracture thumb,-1
fracture finger,-1
fracture hand,-1
maximum workload during fitness test,-1
fracture wrist / colles fracture,-1
fracture shoulder / scapula,-1
fracture clavicle / collar bone,-1
fracture face / orbit / eye socket,-1
fracture nose,-1
fracture jaw,-1
peripheral nerve injury,-1
gynaecological disorder (not cancer),-1
head injury,-1
fracture forearm / wrist,-1
fracture tibia,-1
fracture ulna,-1
fracture radius,-1
mumps / epidemic parotitis,-1
measles / morbillivirus,-1
infectious mononucleosis / glandular fever / epstein barr virus (ebv),-1
food intolerance,-1
raynaud's phenomenon/disease,-1
breast fibroadenoma,-1
miscarriage,-1
ectopic pregnancy,-1
rubella / german measles,-1
menorrhagia (unknown cause),-1
lichen sclerosis,-1
acne/acne vulgaris,-1
dupuytren's contracture,-1
fibromyalgia,-1
carpal tunnel syndrome,-1
plantar fascitis,-1
arthritis (nos),-1
joint pain,-1
cervical intra-epithelial neoplasia (cin) / precancerous cells cervix,-1
chickenpox,-1
whooping cough / pertussis,-1
shingles,-1
fracture skull / head,-1
tennis elbow / lateral epicondylitis,-1
bursitis,-1
tendonitis / tendinitis / tenosynovitis,-1
osteopenia,-1
insomnia,-1
obsessive compulsive disorder (ocd),-1
blepharitis / eyelid infection,-1
thyroid goitre,-1
nephritis,-1
incisional hernia,-1
rectal prolapse,-1
constipation,-1
respiratory infection,-1
pericarditis,-1
hypertrophic cardiomyopathy (hcm / hocm),-1
hepatitis c,-1
hepatitis b,-1
herpes simplex,-1
cough,-1
acute infective polyneuritis/guillain-barre syndrome,-1
urethritis and urethral syndrome,-1
systemic lupus erythematosus,-1
spontaneous rupture of synovium and tendon,-1
other disorders of muscle,-1
other intervertebral disk disorders,-1
"other dorsopathies, not elsewhere classified",-1
other spondylopathies,-1
other systemic involvement of connective tissue,-1
other specific joint derangements,-1
disorders of patella,-1
other disorders of synovium and tendon,-1
other acquired deformities of limbs,-1
other arthrosis,-1
"postprocedural disorders of genito-urinary system, not elsewhere classified",-1
menopausal and other perimenopausal disorders,-1
other abnormal uterine and vaginal bleeding,-1
"excessive, frequent and irregular menstruation",-1
other noninflammatory disorders of vulva and perineum,-1
other noninflammatory disorders of vagina,-1
other noninflammatory disorders of cervix uteri,-1
acquired deformities of fingers and toes,-1
erosion and ectropion of cervix uteri,-1
other bursopathies,-1
other enthesopathies,-1
"cysts of oral region, not elsewhere classified",-1
other disorders of teeth and supporting structures,-1
other disorders of gingiva and edentulous alveolar ridge,-1
gingivitis and periodontal diseases,-1
embedded and impacted teeth,-1
other epidermal thickening,-1
other follicular disorders,-1
nail disorders,-1
"enthesopathies of lower limb, excluding foot",-1
other erythematous conditions,-1
dermatitis due to substances taken internally,-1
"postprocedural musculoskeletal disorders, not elsewhere classified",-1
other acquired deformities of musculoskeletal system and connective tissue,-1
other disorders of cartilage,-1
other disorders of bone,-1
other disorders of bone density and structure,-1
disorders of continuity of bone,-1
"other soft tissue disorders, not elsewhere classified",-1
other dermatitis,-1
stomatitis and related lesions,-1
"other noninflammatory disorders of uterus, except cervix",-1
other disorders of breast,-1
obstructed labour due to malposition and malpresentation of foetus,-1
prolonged pregnancy,-1
false labour,-1
"antepartum haemorrhage, not elsewhere classified",-1
other disorders of amniotic fluid and membranes,-1
other inflammatory spondylopathies,-1
other deforming dorsopathies,-1
maternal care for other known or suspected foetal problems,-1
other obstructed labour,-1
haemorrhage in early pregnancy,-1
maternal care for known or suspected foetal abnormality and damage,-1
other congenital malformations of face and neck,-1
"other congenital malformations of tongue, mouth and pharynx",-1
pain in throat and chest,-1
other symptoms and signs involving the circulatory and respiratory systems,-1
flatulence and related conditions,-1
other symptoms and signs involving the digestive system and abdomen,-1
rash and other nonspecific skin eruption,-1
gestational [pregnancy-induced] hypertension without significant proteinuria,-1
other female pelvic inflammatory diseases,-1
labour and delivery complicated by foetal stress [distress],-1
"other complications of labour and delivery, not elsewhere classified",-1
inflammatory disorders of breast,-1
other disorders of male genital organs,-1
"inflammatory disorders of male genital organs, not elsewhere classified",-1
other disorders of penis,-1
other disorders of prostate,-1
hyperplasia of prostate,-1
other disorders of urinary system,-1
other disorders of urethra,-1
labour and delivery complicated by umbilical cord complications,-1
"neuromuscular dysfunction of bladder, not elsewhere classified",-1
calculus of lower urinary tract,-1
"tubulo-interstitial nephritis, not specified as acute or chronic",-1
acute tubulo-interstitial nephritis,-1
recurrent and persistent haematuria,-1
"other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",-1
"complications of the puerperium, not elsewhere classified",-1
single delivery by caesarean section,-1
single spontaneous delivery,-1
"other disorders of kidney and ureter, not elsewhere classified",-1
"localised swelling, mass and lump of skin and subcutaneous tissue",-1
other diseases of lip and oral mucosa,-1
other diseases of stomach and duodenum,-1
melanocytic naevi,-1
other benign neoplasms of connective and other soft tissue,-1
benign lipomatous neoplasm,-1
benign neoplasm of bone and articular cartilage,-1
benign neoplasm of middle ear and respiratory system,-1
benign neoplasm of other and ill-defined parts of digestive system,-1
carcinoma in situ of other and unspecified sites,-1
carcinoma in situ of other and unspecified genital organs,-1
other benign neoplasms of skin,-1
"other disorders of fluid, electrolyte and acid-base balance",-1
thyrotoxicosis [hyperthyroidism],-1
other non-toxic goitre,-1
somatoform disorders,-1
other diseases of spinal cord,-1
other disorders of brain,-1
paraplegia and tetraplegia,-1
other polyneuropathies,-1
other mononeuropathies,-1
other disorders of pancreatic internal secretion,-1
other demyelinating diseases of central nervous system,-1
benign neoplasm of urinary organs,-1
benign neoplasm of other and unspecified endocrine glands,-1
viral and other specified intestinal infections,-1
other bacterial intestinal infections,-1
candidiasis,-1
other and unspecified types of non-hodgkin's lymphoma,-1
malignant neoplasm without specification of site,-1
secondary malignant neoplasm of other sites,-1
secondary malignant neoplasm of respiratory and digestive organs,-1
malignant neoplasm of other connective and soft tissue,-1
benign neoplasm of meninges,-1
other malignant neoplasms of skin,-1
other diseases of blood and blood-forming organs,-1
other aplastic anaemias,-1
neoplasm of uncertain or unknown behaviour of other and unspecified sites,-1
"other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",-1
neoplasm of uncertain or unknown behaviour of urinary organs,-1
neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,-1
neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,-1
benign neoplasm of other and unspecified sites,-1
"other disorders involving the immune mechanism, not elsewhere classified",-1
diseases of tongue,-1
"other disorders of ear, not elsewhere classified",-1
other diseases of inner ear,-1
pyothorax,-1
"bronchitis, not specified as acute or chronic",-1
other diseases of upper respiratory tract,-1
"diseases of vocal cords and larynx, not elsewhere classified",-1
chronic diseases of tonsils and adenoids,-1
other disorders of nose and nasal sinuses,-1
"chronic rhinitis, nasopharyngitis and pharyngitis",-1
acute upper respiratory infections of multiple and unspecified sites,-1
"pleural effusion, not elsewhere classified",-1
acute tonsillitis,-1
other diseases of digestive system,-1
"postprocedural disorders of digestive system, not elsewhere classified",-1
other diseases of pancreas,-1
other inflammatory liver diseases,-1
other diseases of anus and rectum,-1
fissure and fistula of anal and rectal regions,-1
paralytic ileus and intestinal obstruction without hernia,-1
other non-infective gastro-enteritis and colitis,-1
acute pharyngitis,-1
otalgia and effusion of ear,-1
"respiratory failure, not elsewhere classified",-1
acute and subacute endocarditis,-1
disorders of vestibular function,-1
other disorders of eustachian tube,-1
nonsuppurative otitis media,-1
other disorders of external ear,-1
"postprocedural disorders of eye and adnexa, not elsewhere classified",-1
other disorders of eye and adnexa,-1
other disorders of lens,-1
other disorders of conjunctiva,-1
other diseases of pericardium,-1
disorders of orbit,-1
other non-infective disorders of lymphatic vessels and lymph nodes,-1
other disorders of veins,-1
diseases of capillaries,-1
other disorders of arteries and arterioles,-1
"occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",-1
other cardiac arrhythmias,-1
other conduction disorders,-1
atrioventricular and left bundle-branch block,-1
other disorders of eyelid,-1
other skin changes,-1
other symptoms and signs involving the nervous and musculoskeletal systems,-1
other symptoms and signs involving the urinary system,-1
"redundant prepuce, phimosis and paraphimosis",-1
hydrocele and spermatocele,-1
other disorders of bladder,-1
medical abortion,-1
abdominal and pelvic pain,-1
fracture of forearm,-1
"fracture of foot, except ankle",-1
"poisoning by nonopioid analgesics, antipyretics and antirheumatics",-1
salpingitis and oophoritis,-1
poisoning by narcotics and psychodysleptics [hallucinogens],-1
"poisoning by psychotropic drugs, not elsewhere classified",-1
"poisoning by diuretics and other and unspecified drugs, medicaments and biological substances",-1
failure and rejection of transplanted organs and tissues,-1
malignant neoplasm of brain,-1
malignant neoplasm of testis,-1
malignant neoplasm of prostate,-1
malignant neoplasm of breast,-1
malignant neoplasm of rectosigmoid junction,-1
"poisoning by antiepileptic, sedative-hypnotic and anti-parkinsonism drugs",-1
benign neoplasm of breast,-1
other inflammation of vagina and vulva,-1
lichen simplex chronicus and prurigo,-1
other benign neoplasms of uterus,-1
benign neoplasm of major salivary glands,-1
benign neoplasm of mouth and pharynx,-1
carcinoma in situ of cervix uteri,-1
carcinoma in situ of breast,-1
carcinoma in situ of skin,-1
hyperparathyroidism and other disorders of parathyroid gland,-1
other disorders of thyroid,-1
"other joint disorders, not elsewhere classified",-1
"mental disorder, not otherwise specified",-1
acute and transient psychotic disorders,-1
transient cerebral ischaemic attacks and related syndromes,-1
other hearing loss,-1
other aneurysm,-1
cerebral infarction,-1
other nontraumatic intracranial haemorrhage,-1
acute pericarditis,-1
"other disorders of skin and subcutaneous tissue, not elsewhere classified",-1
other anxiety disorders,-1
neoplasm of uncertain or unknown behaviour of female genital organs,-1
"benign neoplasm of colon, rectum, anus and anal canal",-1
retinal vascular occlusions,-1
"sexual dysfunction, not caused by organic disorder or disease",-1
bipolar affective disorder,-1
manic episode,-1
myasthenia gravis and other myoneural disorders,-1
hordeolum and chalazion,-1
aortic aneurysm and dissection,-1
other respiratory disorders,-1
other interstitial pulmonary diseases,-1
other hypothyroidism,-1
peritonsillar abscess,-1
"pneumonia, organism unspecified",-1
"bacterial pneumonia, not elsewhere classified",-1
pneumonia due to streptococcus pneumoniae,-1
acute sinusitis,-1
"ulcer of lower limb, not elsewhere classified",-1
other disorders of pigmentation,-1
follicular cysts of skin and subcutaneous tissue,-1
systemic sclerosis,-1
nasal polyp,-1
"reaction to severe stress, and adjustment disorders",-1
melanoma in situ,-1
leiomyoma of uterus,-1
other local infections of skin and subcutaneous tissue,-1
other necrotising vasculopathies,-1
elevated blood glucose level,-1
myeloid leukaemia,-1
lymphoid leukaemia,-1
multiple myeloma and malignant plasma cell neoplasms,-1
follicular [nodular] non-hodgkin's lymphoma,-1
hodgkin's disease,-1
"haemangioma and lymphangioma, any site",-1
secondary and unspecified malignant neoplasm of lymph nodes,-1
malignant neoplasm of larynx,-1
malignant neoplasm of colon,-1
purpura and other haemorrhagic conditions,-1
myelodysplastic syndromes,-1
benign neoplasm of thyroid gland,-1
benign neoplasm of brain and other parts of central nervous system,-1
benign neoplasm of other and unspecified female genital organs,-1
benign neoplasm of ovary,-1
mesothelioma,-1
neoplasm of uncertain or unknown behaviour of endocrine glands,-1
malignant neoplasm of other and unspecified parts of tongue,-1
malignant neoplasm of tonsil,-1
superficial injury of thorax,-1
"fracture of rib(s), sternum and thoracic spine",-1
"open wound of abdomen, lower back and pelvis",-1
"other and unspecified injuries of abdomen, lower back and pelvis",-1
injury of muscle and tendon at shoulder and upper arm level,-1
open wound of forearm,-1
superficial injury of wrist and hand,-1
open wound of wrist and hand,-1
fracture of neck,-1
injury of muscle and tendon at wrist and hand level,-1
traumatic amputation of wrist and hand,-1
other and unspecified injuries of wrist and hand,-1
superficial injury of lower leg,-1
open wound of lower leg,-1
"fracture of lower leg, including ankle",-1
other and unspecified injuries of lower leg,-1
open wound of ankle and foot,-1
injury of unspecified body region,-1
crushing injury of wrist and hand,-1
foreign body in respiratory tract,-1
other and unspecified injuries of head,-1
injury of eye and orbit,-1
"somnolence, stupor and coma",-1
other symptoms and signs involving cognitive functions and awareness,-1
"speech disturbances, not elsewhere classified",-1
voice disturbances,-1
malaise and fatigue,-1
senility,-1
syncope and collapse,-1
"convulsions, not elsewhere classified",-1
intracranial injury,-1
"oedema, not elsewhere classified",-1
other general symptoms and signs,-1
unknown and unspecified causes of morbidity,-1
other abnormal immunological findings in serum,-1
other abnormal findings of blood chemistry,-1
abnormal findings on diagnostic imaging of central nervous system,-1
abnormal findings on diagnostic imaging of lung,-1
other abnormal products of conception,-1
open wound of head,-1
maternal care for other conditions predominantly related to pregnancy,-1
"adverse effects, not elsewhere classified",-1
"complications of procedures, not elsewhere classified",-1
complications peculiar to reattachment and amputation,-1
personal history of other diseases and conditions,-1
diarrhoea and gastro-enteritis of presumed infectious origin,-1
chronic viral hepatitis,-1
malignant neoplasm of thyroid gland,-1
malignant neoplasm of eye and adnexa,-1
malignant neoplasm of bladder,-1
"malignant neoplasm of kidney, except renal pelvis",-1
malignant neoplasm of ovary,-1
other medical care,-1
malignant neoplasm of corpus uteri,-1
malignant melanoma of skin,-1
malignant neoplasm of bronchus and lung,-1
malignant neoplasm of pancreas,-1
malignant neoplasm of liver and intrahepatic bile ducts,-1
malignant neoplasm of anus and anal canal,-1
malignant neoplasm of rectum,-1
malignant neoplasm of stomach,-1
malignant neoplasm of oesophagus,-1
malignant neoplasm of cervix uteri,-1
fitting and adjustment of other devices,-1
adjustment and management of implanted device,-1
donors of organs and tissues,-1
"other complications of surgical and medical care, not elsewhere classified",-1
medical observation and evaluation for suspected diseases and conditions,-1
examination and observation for other reasons,-1
follow-up examination after treatment for malignant neoplasm,-1
follow-up examination after treatment for conditions other than malignant neoplasms,-1
special screening examination for infectious and parasitic diseases,-1
special screening examination for neoplasms,-1
special screening examination for other diseases and disorders,-1
pregnancy examination and test,-1
symptoms and signs concerning food and fluid intake,-1
abnormal findings on diagnostic imaging of other body structures,-1
procedures for purposes other than remedying health state,-1
follow-up care involving plastic surgery,-1
"certain early complications of trauma, not elsewhere classified",-1
antenatal screening,-1
postpartum care and examination,-1
attention to artificial openings,-1
other surgical follow-up care,-1
fitting and adjustment of external prosthetic device,-1
other arthritis,-1
peripheral neuropathy,-1
cerebral palsy,-1
encephalitis,-1
decubitus ulcer,-1
pyoderma gangrenosum,-1
zoster,-1
other vitamin deficiencies,-1
shigellosis,-1
seborrhoeic keratosis,-1
urticaria,-1
schizoaffective disorders,-1
unspecified contact dermatitis,-1
hypotension,-1
eating disorders,-1
leishmaniasis,-1
cholelithiasis,-1
duodenal ulcer,-1
diabetes mellitus in pregnancy,-1
gout,-1
other anaemias,-1
paget s disease of bone,-1
osteonecrosis,-1
actinomycosis,-1
nephrotic syndrome,-1
amoebiasis,-1
ascariasis,-1
toxoplasmosis,-1
suppurative and unspecified otitis media,-1
strongyloidiasis,-1
scarlet fever,-1
acute poliomyelitis,-1
placenta praevia,-1
optic neuritis,-1
myiasis,-1
miliary tuberculosis,-1
listeriosis,-1
leptospirosis,-1
infectious mononucleosis,-1
histoplasmosis,-1
granuloma inguinale,-1
enterobiasis,-1
echinococcosis,-1
cryptococcosis,-1
varicella,-1
aspergillosis,-1
unspecified appendicitis,-1
yaws,-1
calculus of kidney and ureter,-1
male infertility,-1
parkinson s disease,-1
obesity,-1
endometriosis,-1
cytomegaloviral disease,-1
myositis,-1
viral infection of unspecified site,-1
ulcerative colitis,-1
schizophrenia,-1
irritable bowel syndrome,-1
glaucoma,-1
epilepsy,-1
other specified diabetes mellitus,-1
unspecified diabetes mellitus,-1
crohn s disease,-1
other disorders of circulatory system,-1
cardiomyopathy,-1
atopic dermatitis,-1
localized adiposity,-1
tuberculosis of other organs,-1
juvenile arthritis,-1
meningococcal infection,-1
cellulitis,-1
osteomyelitis,-1
conduct disorders,-1
otosclerosis,-1
hypospadias,-1
vitiligo,-1
alopecia areata,-1
androgenic alopecia,-1
cleft lip,-1
sunburn,-1
gastro oesophageal reflux disease,-1
atherosclerosis,-1
angina pectoris,-1
ankylosing spondylitis,-1
acne,-1
multiple sclerosis,-1
other peripheral vascular diseases,-1
migraine,-1
dental caries,-1
heart failure,-1
spina bifida,-1
cushing s syndrome,-1
status epilepticus,-1
diaphragmatic hernia,-1
niacin deficiency,-1
congenital malformations of great arteries,-1
turner s syndrome,-1
sarcoidosis,-1
bell's palsy/facial nerve palsy,-1
hypertrichosis,-1
cystic fibrosis,-1
huntington s disease,-1
congenital malformations of great veins,-1
sickle cell disorders,-1
adrenogenital disorders,-1
common variable immunodeficiency,-1
oesophagitis,-1
erythema nodosum,-1
peptic ulcer site unspecified,-1
nausea and vomiting,-1
pruritus,-1
polyuria,-1
other disorders of nervous system,-1
cicatricial alopecia,-1
hereditary factor viii deficiency,-1
amyloidosis,-1
hereditary factor ix deficiency,-1
acute nephritic syndrome,-1
congenital malformations of breast,-1
enduring personality changes not attributable to brain damage and disease,-1
congenital malformations of eyelid lacrimal apparatus and orbit,-1
congenital lens malformations,-1
other congenital malformations of male genital organs,-1
congenital malformations of uterus and cervix,-1
essential primary hypertension,-1
facial nerve disorders,-1
unspecified nephritic syndrome,-1
spotted fever,-1
apocrine sweat disorders,-1
exfoliative dermatitis,-1
disorders of lacrimal system,-1
gastric ulcer,-1
hemiplegia,-1
hyperaldosteronism,-1
hypoparathyroidism,-1
conjunctivitis,-1
keratitis,-1
congenital malformations of cardiac chambers and connections,-1
ventral hernia,-1
femoral hernia,-1
unspecified abortion,-1
hyperhidrosis,-1
erythema multiforme,-1
cholesteatoma of middle ear,-1
allergic contact dermatitis,-1
acanthosis nigricans,-1
acute pancreatitis,-1
thyroiditis,-1
lactose intolerance,-1
cystitis,-1
other ill defined and unspecified causes of mortality,-1
unspecified acute lower respiratory infection,-1
fibroblastic disorders,-1
other diseases of intestine,-1
typhus fever,-1
diseases of spleen,-1
peritonitis,-1
subsequent myocardial infarction,-1
acute myocardial infarction,-1
gangrene,-1
impetigo,-1
irritant contact dermatitis,-1
lichen planus,-1
parapsoriasis,-1
schistosomiasis,-1
synovitis and tenosynovitis,-1
taeniasis,-1
unspecified renal colic,-1
phlebitis and thrombophlebitis,-1
spontaneous abortion,-1
viral meningitis,-1
secondary parkinsonism,-1
other rickettsioses,-1
encephalocele,-1
habitual aborter,-1
bacterial meningitis,-1
ascorbic acid deficiency,-1
coalworker s pneumoconiosis,-1
coxarthrosis,-1
atrophic disorders of skin,-1
seborrhoeic dermatitis,-1
rosacea,-1
pityriasis rosea,-1
pemphigus,-1
dysplasia of cervix uteri,-1
unspecified jaundice,-1
functional disorders of polymorphonuclear neutrophils,-1
phobic anxiety disorders,-1
acute lymphadenitis,-1
varicose veins of other sites,-1
varicose veins of lower extremities,-1
other congenital malformations of peripheral vascular system,-1
congenital malformations of lung,-1
abnormal findings in specimens from respiratory organs and thorax,-1
obstructed labour due to maternal pelvic abnormality,-1
congenital malformations of gallbladder bile ducts and liver,-1
disorders of refraction and accommodation,-1
congenital malformations of nose,-1
cleft palate with cleft lip,-1
dentofacial anomalies,-1
female genital prolapse,-1
atypical virus infections of cns,-1
other disorders of middle ear and mastoid,-1
effects of heat and light,-1
other injuries of shoulder and upper arm,-1
conductive and sensorineural hearing loss,-1
other specific arthropathies,-1
other abnormal findings in urine,-1
urethral stricture,-1
unspecified abdominal hernia,-1
other congenital malformations of digestive system,-1
pain,-1
other diseases of gallbladder,-1
other cerebrovascular diseases,-1
pervasive developmental disorders,-1
primary disorders of muscles,-1
other diseases of liver,-1
other endocrine disorders,-1
unspecified human immunodeficiency virus,-1
subarachnoid haemorrhage,-1
stroke not specified as haemorrhage or infarction,-1
unspecified maternal hypertension,-1
family history of other conditions,-1
endocarditis valve unspecified,-1
alzheimer s disease,-1
