query,cluster
benign neoplasm of mouth and pharynx,-1
"chronic rhinitis, nasopharyngitis and pharyngitis",-1
acute upper respiratory infections of multiple and unspecified sites,-1
"other disorders involving the immune mechanism, not elsewhere classified",-1
acute tonsillitis,-1
acute pharyngitis,-1
"respiratory failure, not elsewhere classified",-1
other disorders of eye and adnexa,-1
"other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",-1
neoplasm of uncertain or unknown behaviour of other and unspecified sites,-1
disorders of orbit,-1
other disorders of veins,-1
other skin changes,-1
"other disorders of fluid, electrolyte and acid-base balance",-1
medical abortion,-1
"fracture of foot, except ankle",-1
candidiasis,-1
salpingitis and oophoritis,-1
"poisoning by psychotropic drugs, not elsewhere classified",-1
"poisoning by diuretics and other and unspecified drugs, medicaments and biological substances",-1
malignant neoplasm of brain,-1
malignant neoplasm of testis,-1
malignant neoplasm of prostate,-1
"poisoning by antiepileptic, sedative-hypnotic and anti-parkinsonism drugs",-1
other inflammation of vagina and vulva,-1
lichen simplex chronicus and prurigo,-1
other diseases of spinal cord,-1
fracture of forearm,-1
other and unspecified injuries of head,-1
inflammatory disorders of breast,-1
injury of eye and orbit,-1
"postprocedural musculoskeletal disorders, not elsewhere classified",-1
peripheral neuropathy,-1
cerebral palsy,-1
encephalitis,-1
decubitus ulcer,-1
pyoderma gangrenosum,-1
other epidermal thickening,-1
embedded and impacted teeth,-1
zoster,-1
other vitamin deficiencies,-1
other disorders of teeth and supporting structures,-1
shigellosis,-1
fitting and adjustment of external prosthetic device,-1
hypotension,-1
paget s disease of bone,-1
actinomycosis,-1
other noninflammatory disorders of cervix uteri,-1
other noninflammatory disorders of vagina,-1
other noninflammatory disorders of vulva and perineum,-1
"excessive, frequent and irregular menstruation",-1
ascariasis,-1
placenta praevia,-1
"postprocedural disorders of genito-urinary system, not elsewhere classified",-1
optic neuritis,-1
myiasis,-1
other disorders of synovium and tendon,-1
duodenal ulcer,-1
other surgical follow-up care,-1
other disorders of bone,-1
symptoms and signs concerning food and fluid intake,-1
unknown and unspecified causes of morbidity,-1
other abnormal immunological findings in serum,-1
other abnormal findings of blood chemistry,-1
rash and other nonspecific skin eruption,-1
"adverse effects, not elsewhere classified",-1
malignant neoplasm of thyroid gland,-1
other symptoms and signs involving the circulatory and respiratory systems,-1
pain in throat and chest,-1
malignant neoplasm of eye and adnexa,-1
malignant neoplasm of bladder,-1
other medical care,-1
haemorrhage in early pregnancy,-1
malignant neoplasm of liver and intrahepatic bile ducts,-1
maternal care for other known or suspected foetal problems,-1
other deforming dorsopathies,-1
adjustment and management of implanted device,-1
other disorders of amniotic fluid and membranes,-1
"antepartum haemorrhage, not elsewhere classified",-1
false labour,-1
medical observation and evaluation for suspected diseases and conditions,-1
examination and observation for other reasons,-1
special screening examination for infectious and parasitic diseases,-1
"other noninflammatory disorders of uterus, except cervix",-1
special screening examination for neoplasms,-1
other dermatitis,-1
special screening examination for other diseases and disorders,-1
disorders of continuity of bone,-1
vasculitis,-1
other congenital malformations of intestine,-1
headaches (not migraine),-1
immunodeficiency with predominantly antibody defects,-1
"persons encountering health services for other counselling and medical advice, not elsewhere classified",-1
toxic effect of soaps and detergents,-1
mycetoma,-1
bring up phlegm/sputum/mucus on most days,-1
sitting height,-1
fracture toe,-1
toxic effect of other gases fumes and vapours,-1
other mood,-1
other respiratory problems,-1
persistent mood,-1
mental and behavioural disorders due to use of cannabinoids,-1
mental and behavioural disorders due to use of cocaine,-1
respiratory tuberculosis not confimed,-1
meningitis,-1
anxiety/panic attacks,-1
respiratory tuberculosis confimed,-1
cataract,-1
other cataract,-1
insulin dependent diabetes mellitus,-1
malaria,-1
plasmodium falciparum malaria,-1
other injuries of lower limb level unspecified,-1
other injuries of upper limb level unspecified,-1
bowel / intestinal obstruction,-1
complications of internal orthopaedic prosthetic devices implants and grafts,-1
foreign body in alimentary tract,-1
complications of other internal prosthetic devices implants and grafts,-1
renal/kidney failure,-1
other postsurgical states,-1
leg pain when standing still or sitting,-1
convalescence,-1
chlamydia psittaci infection,-1
hypertensive renal disease,-1
bone disorder,-1
fracture of skull and facial bones,-1
pulse rate,-1
fractures involving multiple body regions,-1
cervicitis,-1
abnormal leukocyte morphology,-1
pituitary adenoma/tumour,-1
acquired absence of limb,-1
abnormality of red blood cells,-1
injury of blood vessels at abdomen lower back and pelvis level,-1
abnormalities of forces of labour,-1
hepatic failure,-1
other obstetric trauma,-1
routine general health check up of defined subpopulation,-1
intrauterine hypoxia,-1
care involving use of rehabilitation procedures,-1
disorders of mineral metabolism,-1
fibrosing alveolitis/unspecified alveolitis,-1
disorders of sclera and cornea in diseases classified elsewhere,-1
toxic effect of pesticides,-1
other fluke infections,-1
foreign body in ear,-1
rheumatic mitral valve diseases,-1
allergy to house dust mite,-1
rheumatic aortic valve diseases,-1
sarcoma/fibrosarcoma,-1
surgery on leg arteries (other than for varicose veins),-1
miserableness,-1
severity of manic/irritable episodes,-1
allergy or anaphylactic reaction to drug,-1
ear/vestibular disorder,-1
appendicitis,-1
comparative body size at age 10,-1
number of self-reported cancers,-1
dyspepsia,-1
years of cough on most days,-1
hair/balding pattern: pattern 3,-1
past tobacco smoking,-1
renal failure not requiring dialysis,-1
chronic/degenerative neurological problem,-1
fracture upper arm / humerus / elbow,-1
tense / 'highly strung',-1
fracture of shoulder and upper arm,-1
worry too long after embarrassment,-1
mother's age at death,-1
father's age at death,-1
number of full brothers,-1
glomerular disorders in diseases classified elsewhere,-1
falls in the last year,-1
general examination and investigation of persons without complaint or reported diagnosis,-1
cochlear implant,-1
shortness of breath walking on level ground,-1
ever unenthusiastic/disinterested for a whole week,-1
eczema/dermatitis,-1
age completed full time education,-1
forced vital capacity (fvc),-1
"forced vital capacity (fvc), best measure",-1
"forced expiratory volume in 1-second (fev1), best measure",-1
chest pain felt during physical activity,-1
diabetes diagnosed by doctor,-1
cancer diagnosed by doctor,-1
other chronic obstructive pulmonary disease,-1
tuberculosis (tb),-1
liver/hepatocellular cancer,-1
uterine/endometrial cancer,-1
facial pains for 3+ months,-1
leg pain in calf/calves,-1
longest period of depression,-1
large bowel cancer/colorectal cancer,-1
mean time to correctly identify matches,-1
small intestine/small bowel cancer,-1
diffuse non-hodgkin's lymphoma,-1
fracture vertebra / crush fracture / vertebral collapse,-1
target heart rate achieved,-1
bronchitis,-1
number of stillbirths,-1
emphysema/chronic bronchitis,-1
allergy/hypersensitivity/anaphylaxis,-1
neutropenia/lymphopenia,-1
ever depressed for a whole week,-1
larynx/throat cancer,-1
"loneliness, isolation",-1
non-melanoma skin cancer,-1
haemorrhage from respiratory passages,-1
visual disturbances,-1
varicose veins,-1
prostatitis,-1
erectile dysfunction / impotence,-1
grave's disease,-1
trigemminal neuralgia,-1
adult osteomalacia,-1
polio / poliomyelitis,-1
retention of urine,-1
premature separation of placenta,-1
diverticular disease of intestine,-1
brain haemorrhage,-1
anaemia,-1
other helminthiases,-1
other nutritional deficiencies,-1
hypoglycemic coma,-1
cervical disc disorders,-1
diverticular disease/diverticulitis,-1
hiv disease resulting in other conditions,-1
abnormalities of gait and mobility,-1
occlusion and stenosis of cerebral arteries notcerebral infarction,-1
nerve root and plexus disorders,-1
heart failure/pulmonary odema,-1
unspecified intestinal parasitism,-1
disorders resulting from impaired renal tubular function,-1
abdominal hernia,-1
atrial fibrillation,-1
jaundice (unknown cause),-1
acute renal failure,-1
congenital hydrocephalus,-1
reduction defects of lower limb,-1
eye infection,-1
helicobacter pylori,-1
retinal detachment,-1
retinal artery/vein occlusion,-1
deliberate self-harm/suicide attempt,-1
osteoporosis,-1
breast cysts,-1
other disorders of circulatory system in diseases classified elsewhere,-1
toxic effect of metals,-1
nonspecific lymphadenitis,-1
cystic kidney disease,-1
polycystic ovaries/polycystic ovarian syndrome,-1
uterine fibroids,-1
status asthmaticus,-1
diseases of salivary glands,-1
myasthenia gravis,-1
spinal osteochondrosis,-1
tuberculosis of nervous system,-1
retinal detachments and breaks,-1
disorders of tooth development and eruption,-1
labyrinthitis,-1
other coagulation defects,-1
granulomatous disorders of skin and subcutaneous tissue,-1
dystonia,-1
gestational hypertension/pre-eclampsia,-1
inflammatory bowel disease,-1
sciatica,-1
maternal care for known or suspected malpresentation of fetus,-1
thyroid problem (not cancer),-1
soft tissue disorders in diseases classified elsewhere,-1
reported occurrences of cancer,-1
procreative management,-1
morning/evening person (chronotype),-1
sodium in urine,-1
whole body fat-free mass,-1
prostate problem (not cancer),-1
testicular problems (not cancer),-1
idiopathic pulmonary fibrosis,-1
chronic bronchitis,-1
emphysema,-1
back problem,-1
neurological injury/trauma,-1
leukaemia,-1
cancer of lip/mouth/pharynx/oral cavity,-1
trapped nerve/compressed nerve,-1
hodgkins lymphoma / hodgkins disease,-1
eye trauma,-1
age when periods started (menarche),-1
irritability,-1
cascot confidence score,-1
sleeplessness / insomnia,-1
primary bone cancer,-1
traumatic amputations involving multiple body regions,-1
transplanted organ and tissue status,-1
"persons encountering health services for specifie procedures, not carried out",-1
hayfever or allergic rhinitis,-1
other degenerative diseases of basal ganglia,-1
sleep duration,-1
leg claudication/ intermittent claudication,-1
chronic obstructive airways disease/copd,-1
polyneuropathy in diseases classified elsewhere,-1
vocal cord polyp,-1
throat or larynx disorder,-1
burns,-1
pulmonary valve disorders,-1
blistering/desquamating skin disorder,-1
enlarged prostate,-1
stroke,-1
fracture foot,-1
diseases of bartholin s gland,-1
essential hypertension,-1
"malignant lymph node, unspecified",-1
thyroid cancer,-1
obstructive and reflux uropathy,-1
mononeuropathies of upper limb,-1
inflammatory disease of uterus except cervix,-1
noninflammatory disorders of ovary fallopian tube and broad ligament,-1
other diseases of biliary tract,-1
haemorrhoids,-1
inflammatory polyneuropathy,-1
asbestosis,-1
chronic diseases of tonsils and adenoids,-1
congenital malformations of aortic and mitral valves,-1
other disorders of tympanic membrane,-1
other cardiac arrhythmias,0
other joint disorder,0
heart/cardiac problem,0
other disorders of conjunctiva,0
"redundant prepuce, phimosis and paraphimosis",0
other benign neoplasms of uterus,0
benign neoplasm of major salivary glands,0
non-hodgkins lymphoma,0
hepatitis a,0
"dislocation, sprain and strain of joints and ligaments of knee",0
hepatitis,0
malignant neoplasm of rectosigmoid junction,0
liver/biliary/pancreas problem,0
vascular disorders of intestine,0
raynaud's phenomenon/disease,0
congenital ichthyosis,0
artificial opening status,0
viral warts,0
benign breast lump,0
infectious mononucleosis / glandular fever / epstein barr virus (ebv),0
juvenile arthritis,1
other disorders of bladder,1
osteopenia,1
abnormal findings in specimens from male genital organs,1
relative age of first facial hair,1
wheeze or whistling in the chest in last year,2
vitiligo,2
other aneurysm,3
"long-standing illness, disability or infirmity",3
rheumatic fever with heart involvement,3
angina,4
chronic renal failure,4
agranulocytosis,4
postpolio syndrome,4
spondylosis,4
erysipeloid,4
unspecified lump in breast,4
injury of blood vessels at wrist and hand level,4
skin changes due to chronic exposure to nonionizing radiation,4
senile cataract,4
benign neuroma,4
mood swings,4
portal vein thrombosis,4
hypothermia,4
hypofunction and other disorders of pituitary gland,4
carcinoma in situ of other and unspecified genital organs,4
carcinoma in situ of other and unspecified sites,4
congenital malformations of breast,4
supervision of high risk pregnancy,4
urinary tract infection/kidney infection,4
burns and corrosions of multiple body regions,4
toxic effect of organic solvents,4
number of unenthusiastic/disinterested episodes,4
scoliosis,4
melanoma in situ,4
fracture of spine level unspecified,4
"pleural effusion, not elsewhere classified",4
"seen a psychiatrist for nerves, anxiety, tension or depression",4
fracture finger,4
atrophic disorders of skin,4
encephalocele,4
pericarditis,4
mental and behavioural disorders due to use of volatile solvents,5
abscess of anal and rectal regions,5
paroxysmal tachycardia,5
gynecomastia,5
polydactyly,5
type 1 diabetes,5
congenital septal defect,5
pilonidal cyst,5
abnormal findings in specimens from respiratory organs and thorax,5
type 2 diabetes,5
abnormality of glycoprotein metabolism,5
lymphoma,5
obstructed labour due to maternal pelvic abnormality,5
gall bladder disease,5
complications following infusion transfusion and therapeutic injection,5
gastritis/gastric erosions,5
sequelae of injuries of upper limb,5
unspecified fall,5
diseases of spleen,5
injury of other intrathoracic organs,5
typhus fever,5
other diseases of intestine,5
fibroblastic disorders,5
head injury,5
fracture of upper limb level unspecified,5
congenital obstructive defects of renal pelvis and congenital malformations of ureter,5
single delivery by forceps and vacuum extractor,5
mixed and other personality disorders,5
other diseases of gallbladder,5
pain,5
"bronchitis, not specified as acute or chronic",5
other congenital malformations of digestive system,5
unspecified abdominal hernia,5
urethral stricture,5
other abnormal findings in urine,5
other specific arthropathies,5
conductive and sensorineural hearing loss,5
other injuries of shoulder and upper arm,5
effects of heat and light,5
other disorders of middle ear and mastoid,5
other headache syndromes,5
mental and behavioural disorders due to use of sedatives or hypnotics,5
other disorders of peritoneum,5
atypical virus infections of cns,5
other disorders of binocular movement,5
female genital prolapse,5
kidney/renal cell cancer,5
hip pain for 3+ months,5
frequency of tiredness / lethargy in last 2 weeks,5
dentofacial anomalies,5
cleft palate with cleft lip,5
congenital malformations of nose,5
disorders of refraction and accommodation,5
abnormality of glycosaminoglycan metabolism,5
chorioretinitis,5
acquired pure red cell aplasia,5
heart attack/myocardial infarction,5
unspecified dementia,5
other diseases of upper respiratory tract,5
complications of cardiac and vascular prosthetic devices implants and grafts,5
other polyneuropathies,5
malignant neoplasm without specification of site,5
secondary malignant neoplasm of other sites,5
frequency of depressed mood in last 2 weeks,5
secondary malignant neoplasm of respiratory and digestive organs,5
other diseases of blood and blood-forming organs,5
other disorders of pancreatic internal secretion,5
age of primiparous women at birth of child,5
other demyelinating diseases of central nervous system,5
benign neoplasm of urinary organs,5
other disorders of brain,5
getting up in morning,5
number of self-reported non-cancer illnesses,5
other mononeuropathies,5
benign neoplasm of other and unspecified endocrine glands,5
malignant neoplasm of other connective and soft tissue,5
viral and other specified intestinal infections,5
"seen doctor (gp) for nerves, anxiety, tension or depression",5
suffer from 'nerves',5
"diseases of vocal cords and larynx, not elsewhere classified",5
hearing difficulty/problems: i am completely deaf,5
number of children fathered,6
iridocyclitis,6
other disorders of adrenal gland,6
fracture fibula,7
frostbite involving multiple body regions and unspecified frostbite,7
nap during day,7
number of incorrect matches in round,8
townsend deprivation index at recruitment,8
number of treatments/medications taken,8
disturbances of smell and taste,8
other and unspecified types of non-hodgkin's lymphoma,8
other bacterial intestinal infections,8
other aplastic anaemias,8
worrier / anxious feelings,9
"number of operations, self-reported",9
birth weight of first child,10
fracture at wrist and hand level,10
other assisted single delivery,10
multiple delivery,10
back pain for 3+ months,11
tuberculosis of other organs,11
peak expiratory flow (pef),11
able to walk or cycle unaided for 10 minutes,12
tendonitis / tendinitis / tenosynovitis,12
headache,13
length of longest manic/irritable episode,13
bilateral oophorectomy (both ovaries removed),14
hiatus hernia,14
infective/viral hepatitis,15
friendships satisfaction,15
handedness (chirality/laterality): left-handed,15
carcinoma in situ of cervix uteri,15
hearing aid user,15
ever had hysterectomy (womb removed),15
other non-infective disorders of lymphatic vessels and lymph nodes,15
handedness (chirality/laterality): use both right and left hands equally,15
tick borne viral encephalitis,15
"dislocation, sprain and strain of joints and ligaments at wrist and hand level",15
other diseases of appendix,15
other inflammatory liver diseases,15
fissure and fistula of anal and rectal regions,15
fracture shaft of femur,15
pericardial problem,15
number of depression episodes,15
other disorders of external ear,15
hair/balding pattern: pattern 4,15
chest pain or discomfort when walking uphill or hurrying,15
other diseases of pericardium,15
chronic fatigue syndrome,15
forced expiratory volume in 1-second (fev1),15
"diastolic blood pressure, automated reading",15
fracture metatarsal,15
disorders of trigeminal nerve,15
pain and other conditions associated with female genital organs and menstrual cycle,15
bipolar disorder status,15
crohns disease,16
high cholesterol,16
health satisfaction,16
colitis/not crohns or ulcerative colitis,16
malabsorption/coeliac disease,16
post-traumatic stress disorder,16
happiness,16
work/job satisfaction,16
rectal prolapse,17
pace-maker,17
financial situation satisfaction,18
"systolic blood pressure, automated reading",18
ever used hormone-replacement therapy (hrt),18
congenital malformations of anterior segment of eye,18
abnormal findings in specimens from female genital organs,18
other obstructed labour,18
peripheral nerve injury,19
creatinine (enzymatic) in urine,19
fracture nose,19
gingivitis and periodontal diseases,20
potassium in urine,20
longest period of unenthusiasm / disinterest,20
myelodysplastic syndromes,21
osteoarthritis,21
fracture resulting from simple fall,21
viral infection of unspecified site,21
heart failure,22
fractured/broken bones in last 5 years,22
malignant melanoma,23
frequency of unenthusiasm / disinterest in last 2 weeks,23
rectal or colon adenoma/polyps,24
mitral regurgitation / incompetence,24
orchitis and epididymitis,24
"heel bone mineral density (bmd) t-score, automated (right)",24
"heel bone mineral density (bmd) t-score, automated",24
paralytic ileus and intestinal obstruction without hernia,24
aortic regurgitation / incompetence,24
"occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",24
tinnitus / tiniitis,24
nail disorders,24
daytime dozing / sleeping (narcolepsy),24
chest pain or discomfort walking normally,24
tinnitus severity/nuisance,24
uterine polyps,24
hyperhidrosis,25
dental caries,25
migraine,25
amoebiasis,25
"ever had stillbirth, spontaneous miscarriage or termination",25
other disorders of male genital organs,25
psychological/psychiatric problem,25
hydrocele and spermatocele,25
spinal cord disorder,26
cin/pre-cancer cells cervix,26
polycystic kidney,26
menopausal and other perimenopausal disorders,27
abdominal and pelvic pain,27
cervical spondylosis,27
acquired deformities of fingers and toes,27
"localised swelling, mass and lump of skin and subcutaneous tissue",27
parathyroid gland problem (not cancer),27
"complications of the puerperium, not elsewhere classified",27
"other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",27
non-infective hepatitis,27
stomach disorder,27
gastrointestinal bleeding,27
pancreatitis,27
heart valve problem/heart murmur,27
complications of anaesthesia during the puerperium,27
other diseases of lip and oral mucosa,27
problems related to social environment,27
other enthesopathies,27
svt / supraventricular tachycardia,27
other disorders of breast,27
volume depletion,27
stress,28
other disorders of eustachian tube,28
"neuromuscular dysfunction of bladder, not elsewhere classified",29
injury of nerves at wrist and hand level,29
crushing injuries involving multiple body regions,29
other congenital malformations of face and neck,29
superficial injuries involving multiple body regions,29
maternal care for known or suspected foetal abnormality and damage,29
personal history of malignant neoplasm,29
mental and behavioural disorders due to use of alcohol,29
mental and behavioural disorders due to use of hallucinogens,29
hiv disease resulting in other specified diseases,29
other injuries involving multiple body regions,29
macular degeneration,29
anal problem,30
other disorders of bone density and structure,30
lymphadenopathy,30
oesophagitis/barretts oesophagus,30
gastric/stomach ulcers,30
"other soft tissue disorders, not elsewhere classified",30
dementia in alzheimer s disease,31
diabetic neuropathy/ulcers,31
prolapsed disc/slipped disc,32
gastro oesophageal reflux disease,32
rodent ulcer,33
flatulence and related conditions,33
other abdominal problem,33
other symptoms and signs involving the digestive system and abdomen,34
spine arthritis/spondylitis,34
cholelithiasis/gall stones,34
gastro-oesophageal reflux (gord) / gastric reflux,34
thyrotoxicosis [hyperthyroidism],34
insomnia,35
oesophageal disorder,35
malignant neoplasm of bronchus and lung,35
pernicious anaemia,36
disc problem,36
other abnormal uterine and vaginal bleeding,36
muscle/soft tissue problem,36
perineal laceration during delivery,37
hereditary ataxia,37
sunburn,37
maximum heart rate during fitness test,37
cervical polyps,38
basal cell carcinoma,38
chronic sinusitis,38
nasal/sinus disorder,38
other neurological problem,38
persons encountering health services in other circumstances,38
paralytic strabismus,38
other arthrosis,38
other diseases of pancreas,38
nonrheumatic mitral valve disorders,39
stomach/abdominal pain for 3+ months,39
acquired haemolytic anaemia,39
dyspepsia / indigestion,39
leishmaniasis,39
neck/shoulder pain for 3+ months,39
gestational diabetes,39
rheumatoid arthritis,39
gestational diabetes only,39
other disorders of pigmentation,40
myasthenia gravis and other myoneural disorders,40
other interstitial pulmonary diseases,40
other hypothyroidism,40
manic episode,40
acute sinusitis,40
"ulcer of lower limb, not elsewhere classified",40
acne,40
mononeuropathies of lower limb,40
spinal injury,40
hordeolum and chalazion,40
systemic sclerosis,40
poisoning by narcotics and psychodysleptics [hallucinogens],40
obesity,40
fibrosis and cirrhosis of liver,40
injury of blood vessels at shoulder and upper arm level,40
follicular cysts of skin and subcutaneous tissue,40
coxarthrosis,40
common variable immunodeficiency,40
vitamin b12 deficiency anaemia,40
ascorbic acid deficiency,40
bacterial meningitis,40
habitual aborter,40
anuria and oliguria,40
coalworker s pneumoconiosis,40
other anxiety disorders,40
injury of blood vessels at neck level injury  efo 0009886 broad s15 done,41
"other complications of surgical and medical care, not elsewhere classified",41
pain associated with micturition,41
donors of organs and tissues,41
maternal care for known or suspected abnormality of pelvic organs,41
injury of blood vessels at hip and thigh level,41
hemiplegia,41
gastric ulcer,41
disorders of lacrimal system,41
abnormal serum enzyme levels,42
"inflammatory disorders of male genital organs, not elsewhere classified",42
urticaria,43
long labour,43
pemphigoid,44
peptic ulcer,44
calculus of lower urinary tract,45
"tubulo-interstitial nephritis, not specified as acute or chronic",45
meningococcal infection,45
exposure to tobacco smoke at home,45
number of live births,45
number of spontaneous miscarriages,45
benign / essential tremor,45
acute pancreatitis,45
heartburn,45
leg pain on walking,45
eccrine sweat disorders,46
dysphagia,46
fracture tibia,46
obsessive compulsive disorder (ocd),46
retinal problem,46
respiratory infection,46
nervous feelings,46
other disorders of gingiva and edentulous alveolar ridge,47
fever of unknown origin,47
ascites,48
benign neoplasm of middle ear and respiratory system,48
nephrotic syndrome,48
dizziness and giddiness,48
other rheumatic heart diseases,48
breast cancer,48
fracture neck of femur / hip,49
joint disorder,49
disorders of male genital organs in diseases classified elsewhere,49
alopecia areata,49
rapidly progressive nephritic syndrome,49
lymphoedema,49
lichen planus,49
food intolerance,49
fracture shoulder / scapula,49
fracture jaw,49
atrioventricular and left bundle-branch block,49
pneumonia,49
fracture patella / knee,49
dermatitis due to substances taken internally,49
hiv/aids,50
maternal care for known or suspected disproportion,50
shoulder lesions,51
other renal/kidney problem,51
hereditary and idiopathic neuropathy,51
diabetic eye disease,52
sequelae of other effects of external causes,52
neoplasm of uncertain or unknown behaviour of endocrine glands,52
malignant neoplasm of other and unspecified parts of tongue,52
scleroderma/systemic sclerosis,53
peripheral nerve disorder,53
breast disease (not cancer),54
cranial nerve problem/palsy,54
adrenocortical insufficiency/addison's disease,55
anal fissure,55
nervous breakdown,56
hepatitis c,56
thyroid radioablation therapy,57
other peripheral vascular diseases,57
follow-up examination after treatment for conditions other than malignant neoplasms,57
birth weight,57
acne/acne vulgaris,57
schizophrenia,58
rheumatic fever,58
wegners granulmatosis,58
"dislocation, sprain and strain of joints and ligaments of shoulder girdle",58
other anaemias,58
acute tubulo-interstitial nephritis,58
bladder problem (not cancer),58
small kidney of unknown cause,58
muscle or soft tissue injuries,59
oesophageal stricture,59
other disorders of lens,59
seborrhoeic keratosis,60
whole body water mass,60
fibrocystic disease,60
other acquired deformities of limbs,61
spondylopathies in diseases classified elsewhere,61
problems related to life management difficulty,62
other disorders of urinary system,62
current tobacco smoking,63
abnormal smear (cervix),63
other intervertebral disk disorders,63
otalgia and effusion of ear,63
ovarian dysfunction,63
other congenital malformations of heart,63
soft tissue inflammation,64
carrier of infectious disease,64
oesophagitis,64
"malignant neoplasm of kidney, except renal pelvis",65
dementia/alzheimers/cognitive impairment,65
neck problem/injury,65
open wound of head,65
malignant neoplasm of ovary,65
acute appendicitis,65
hereditary/genetic haematological disorder,66
other arthritis,66
clotting disorder/excessive bleeding,67
osteomyelitis,67
other congenital musculoskeletal deformities,67
sleep apnoea,67
other disorders of penis,67
psoriasis,68
psoriatic arthropathy,68
