query,MAPPED_TERM_LABEL,Type,Levenshtein,Zooma,SciSpacy,Spacy,GUSE,BlueBERT,BioSentVec,BioBERT,BLUEBERT-EFO
"neuromuscular dysfunction of bladder, not elsewhere classified",neurogenic bladder,disease,genetic neuromuscular junction disease (>100) [0.18],immune system disease (>100) [0.36],abnormality of the bladder (45) [0.54],"congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay (>100) [0.27]",abnormality of the bladder (4) [0.54],symptomatic form of muscular dystrophy of duchenne and becker in female carriers (>100) [0.08],abnormality of the bladder (5) [0.54],neuromuscular dysphagia (24) [0.23],genetic neuromuscular disease (>100) [0.26]
hiv disease resulting in malignant neoplasms,HIV-associated cancer,infection,high grade malignant neoplasm (>100) [0.31],neoplasm (>100) [0.28],metastatic malignant neoplasm (>100) [0.28],neoplastic disease or syndrome (>100) [0.24],susceptibility to hiv infection (>100) [0.17],teratoma with malignant transformation (>100) [0.23],hiv infection (2) [0.52],pre-malignant neoplasm (>100) [0.26],aids-related disease (3) [0.72]
retained placenta and membranes without haemorrhage,placental retention,complication,fetal akinesia-cerebral and retinal hemorrhage syndrome (>100) [0.12],nan (>100) [0.0],preterm premature rupture of the membranes (7) [0.57],preterm premature rupture of the membranes (22) [0.57],placenta accreta (47) [0.85],antepartum hemorrhage (25) [0.11],placenta (10) [0.06],fetal akinesia-cerebral and retinal hemorrhage syndrome (48) [0.12],female reproductive system disease (32) [0.67]
"other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",pregnancy disorder,complication,hematological disease associated with an acquired peripheral neuropathy (>100) [0.5],nan (>100) [0.0],toxemia of pregnancy (13) [0.42],"congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay (>100) [0.57]",abnormality of prenatal development or birth (53) [0.22],male infertility due to obstructive azoospermia of genetic origin (>100) [0.24],toxemia of pregnancy (3) [0.42],rare genetic gynecological and obstetrical diseases (>100) [0.36],quality (>100) [0.33]
other disorders of teeth and supporting structures,tooth disease,disease,disease of bone structure (>100) [0.44],periodontal disease (>100) [0.93],"neurodevelopmental disorder with or without anomalies of the brain, eye, or heart (41) [0.27]",cysts and fistulae of the face and oral cavity (>100) [0.25],other epidermal disorder (>100) [0.35],abnormality of dental enamel (49) [0.1],fused teeth (3) [0.09],disease of visual system (>100) [0.36],genetic disorder (2) [0.29]
bladder problem (not cancer),bladder disease,disease,gallbladder cancer (45) [0.24],nan (>100) [0.0],prostate cancer (>100) [0.21],intestinal lymphangiectasia (disease) (57) [0.45],urinary bladder cancer (4) [0.47],genetic urogenital tumor (>100) [0.33],bladder adenocarcinoma (6) [0.33],thyroiditis (disease) (>100) [0.45],bladder tumor (2) [0.58]
prostate problem (not cancer),prostate disease,disease,prostate cancer (31) [0.41],metastatic prostate cancer (>100) [0.35],prostate cancer (35) [0.41],scleritis (disease) (42) [0.28],prostate cancer (7) [0.41],prostate gland cancer cell (>100) [0.08],prostate cancer (6) [0.41],thyroiditis (disease) (3) [0.38],prostate cancer (3) [0.41]
"other joint disorders, not elsewhere classified",joint disease,disease,pervasive developmental disorder - not otherwise specified (>100) [0.28],digestive system disease (>100) [0.56],"neurodevelopmental disorder with or without anomalies of the brain, eye, or heart (88) [0.4]","neurodevelopmental disorder with or without anomalies of the brain, eye, or heart (>100) [0.4]",other epidermal disorder (>100) [0.38],other metabolic disease with skin involvement (>100) [0.24],ryr1-related disorders (3) [0.4],other metabolic disease with skin involvement (>100) [0.24],autosomal dominant disease (2) [0.33]
disorders of tooth development and eruption,tooth agenesis,disease,disorder of development or morphogenesis (>100) [0.2],nan (>100) [0.0],primary failure of tooth eruption (32) [0.9],primary failure of tooth eruption (>100) [0.9],"hypotonia, ataxia, developmental delay, and tooth enamel defect syndrome (>100) [0.25]",premature eruption of permanent teeth (14) [0.07],tooth eruption (8) [0.04],disorder of iron metabolism and transport (62) [0.19],tooth disease (>100) [0.68]
"other disorders of ear, not elsewhere classified",auditory system disease,disease,disorder of patella (>100) [0.38],digestive system disease (>100) [0.56],"neurodevelopmental disorder with or without anomalies of the brain, eye, or heart (>100) [0.4]","neurodevelopmental disorder with or without anomalies of the brain, eye, or heart (>100) [0.4]",other epidermal disorder (>100) [0.38],other metabolic disease with skin involvement (>100) [0.24],abnormality of the ear (>100) [0.17],other genetic dermis disorder (>100) [0.42],autosomal dominant disease (12) [0.33]
calculus of lower urinary tract,ureterolithiasis,disease,upper urinary tract (>100) [0.07],lower urinary tract symptom (>100) [0.13],lower urinary tract calculus (>100) [0.46],lower urinary tract calculus (>100) [0.46],lower urinary tract calculus (>100) [0.46],lower urinary tract calculus (79) [0.46],lower urinary tract calculus (11) [0.46],lower urinary tract calculus (51) [0.46],lower urinary tract calculus (15) [0.46]
unspecified nephritic syndrome,nephritis,disease,nephrotic syndrome (>100) [0.64],dermatomyositis (>100) [0.18],nephrotic syndrome (>100) [0.64],16p13.11 microdeletion syndrome (>100) [0.17],unclassified autoinflammatory syndrome (>100) [0.24],hereditary nephritis (2) [0.85],goodpasture syndrome (>100) [0.29],unspecified juvenile idiopathic arthritis (22) [0.25],genetic disorder (2) [0.33]
other abnormal uterine and vaginal bleeding,metrorrhagia,disease,abnormal heart rate variability (>100) [0.45],ectocervix (>100) [0.08],abnormal bleeding (44) [0.56],abnormal bleeding (>100) [0.56],abnormal bleeding (>100) [0.56],vaginal disease (>100) [0.14],uterine disease (13) [0.14],abnormal vaginal discharge smell (>100) [0.42],phenotypic abnormality (>100) [0.71]
general pain for 3+ months,Chronic pain,symptom,neutral lipid storage myopathy (>100) [0.05],pain agnosia (>100) [0.11],wm-266-4 (63) [0.07],"tumor grade 3 or 4, general grading system (>100) [0.27]",pain agnosia (8) [0.11],episodic abdominal pain (2) [0.6],pain (15) [0.86],pain in abdomen (26) [0.75],pain (2) [0.86]
"complications of the puerperium, not elsewhere classified",puerperal disorder,complication,duplication of the pituitary gland (>100) [0.17],cardiovascular disease (>100) [0.57],toxemia of pregnancy (>100) [0.31],"neurodevelopmental disorder with or without anomalies of the brain, eye, or heart (>100) [0.57]",rare thrombotic disorder due to a constitutional coagulation factors defect (>100) [0.24],proximal myopathy with extrapyramidal signs (51) [0.12],complication (7) [0.67],puerperal infection (15) [0.71],quality (60) [0.33]
other retinal disorders,retinopathy,disease,other epidermal disorder (>100) [0.33],psoriasis (>100) [0.38],retinal dystrophy with inner retinal dysfunction and ganglion cell anomalies (>100) [0.58],retinal dystrophy with inner retinal dysfunction and ganglion cell anomalies (>100) [0.58],other epidermal disorder (>100) [0.33],abnormal retinal morphology (8) [0.09],retinal dystrophy with inner retinal dysfunction and ganglion cell anomalies (32) [0.58],retinal vascular disease (>100) [0.7],rare genetic neurological disorder (2) [0.38]
spinal injury,spinal cord injury,disease,spinal injury (2) [0.46],spinal injury (>100) [0.46],spinal injury (2) [0.46],spinal injury (2) [0.46],spinal injury (2) [0.46],spinal injury (2) [0.46],spinal injury (2) [0.46],spinal injury (2) [0.46],spinal injury (3) [0.46]
inflammatory diseases of prostate,prostatitis,disease,inflammatory disease (>100) [0.38],inflammatory skin disease (>100) [0.29],inflammatory disease (>100) [0.38],inflammatory disease (>100) [0.38],prostate disease (35) [0.69],prostate cancer (>100) [0.35],prostate disease (18) [0.69],pelvic inflammatory disease (52) [0.47],prostate disease (4) [0.69]
retinal problem,retinopathy,disease,rectal prolapse (>100) [0.1],nan (>100) [0.0],retinal detachment (>100) [0.82],retinal drusen (>100) [0.74],retinal drusen (47) [0.74],retinal detachment (17) [0.82],retina (37) [0.05],retinal cancer (11) [0.44],eye disease (2) [0.86]
other disorders of eyelid,eyelid disease,disease,hypertrichosis of eyelid (>100) [0.52],glaucoma (>100) [0.71],pigmentation disorder with eye involvement (4) [0.67],congenital disorder of glycosylation with skin involvement (7) [0.2],other epidermal disorder (7) [0.33],disorder of lacrimal gland (4) [0.88],eyelid (2) [0.05],disease of visual system (47) [0.43],eye disease (2) [0.86]
parathyroid gland problem (not cancer),parathyroid disease,disease,parathyroid gland carcinoma (10) [0.5],parathyroid gland carcinoma (>100) [0.5],parathyroid gland carcinoma (98) [0.5],thyroid adenoma (disease) (40) [0.26],parathyroid gland carcinoma (>100) [0.5],tumor of parathyroid gland (33) [0.72],parathyroid gland carcinoma (7) [0.5],parathyroid gland carcinoma (2) [0.5],tumor of parathyroid gland (4) [0.72]
benign breast lump,breast fibrocystic disease,symptom,benign brain neoplasm (>100) [0.36],nan (>100) [0.0],breast benign neoplasm (>100) [0.78],breast benign neoplasm (12) [0.78],breast benign neoplasm (18) [0.78],breast adenosis (30) [0.44],breast benign neoplasm (5) [0.78],benign (>100) [0.18],breast benign neoplasm (9) [0.78]
unspecified viral infection of cns,central nervous system infection,disease,perimeningeal infections (>100) [0.45],anthrax infection (>100) [0.33],viral eye infection (>100) [0.3],viral respiratory tract infection (>100) [0.43],viral infection of central nervous system (15) [0.83],viral infection of central nervous system (80) [0.83],viral infection of central nervous system (2) [0.83],hiv-associated cancer (>100) [0.21],viral infection of central nervous system (3) [0.83]
hypertensive renal disease,renal hypertension,disease,hypertensive renal disease (>100) [0.56],hypertensive renal disease (>100) [0.56],hypertensive renal disease (5) [0.56],hypertensive renal disease (4) [0.56],hypertensive renal disease (8) [0.56],hypertensive renal disease (10) [0.56],hypertensive renal disease (4) [0.56],hypertensive renal disease (2) [0.56],hypertensive renal disease (4) [0.56]
unspecified maternal hypertension,preeclampsia,disease,secondary hypertension (>100) [0.64],hypertension (>100) [0.69],maternal diabetes (41) [0.09],maternal diabetes (>100) [0.09],"hypertension, pregnancy-induced (15) [0.85]","hypertension, pregnancy-induced (>100) [0.85]",hypertension (>100) [0.69],"hypertension, pregnancy-induced (>100) [0.85]",genetic hypertension (>100) [0.43]
diverticular disease of intestine,diverticulitis,disease,diverticular disease (52) [0.75],diverticular disease (>100) [0.75],diverticular disease (56) [0.75],small intestine disease (>100) [0.62],intestinal lymphangiectasia (disease) (>100) [0.62],inflammation of the large intestine (38) [0.1],diverticular disease (40) [0.75],diverticulitis of colon (>100) [0.8],disorder of appendix (>100) [0.5]
other fluke infections,infectious disease,infection,prosthesis-related infections (>100) [0.62],chlamydiaceae infections (>100) [0.5],trematode infections (>100) [0.75],piscirickettsiaceae infections (>100) [0.56],neisseriaceae infections (>100) [0.56],hookworm infectious disease (>100) [0.62],trematode infections (19) [0.75],hookworm infectious disease (18) [0.62],infectious disease (>100) [0.71]
encephalitis myelitis and encephalomyelitis,meningoencephalitis,disease,acute disseminated encephalomyelitis (30) [0.72],encephalomyelitis (>100) [0.63],encephalomyelitis (19) [0.63],encephalitis (>100) [0.89],"polyhydramnios, megalencephaly, and symptomatic epilepsy (>100) [0.23]",encephalomyelitis (5) [0.63],encephalitis (18) [0.89],encephalomyelitis (13) [0.63],encephalomyelitis (>100) [0.63]
emphysema/chronic bronchitis,emphysema,disease,chronic bronchitis (>100) [0.71],chronic bronchitis (>100) [0.71],chronic bronchitis (34) [0.71],chronic bronchitis (4) [0.71],bronchitis (33) [0.45],chronic bronchitis (4) [0.71],bronchitis (>100) [0.45],chronic bronchitis (7) [0.71],chronic bronchitis (3) [0.71]
peripheral nerve disorder,peripheral nervous system disease,disease,peripheral nerve injury (4) [0.6],peripheral neuropathy (>100) [0.78],peripheral nerve lesion (>100) [0.7],peripheral nerve lesion (>100) [0.7],peripheral nerve injury (>100) [0.6],peripheral nerve injury (>100) [0.6],peripheral nerve lesion (>100) [0.7],peripheral nerve injury (>100) [0.6],peripheral nerve lesion (4) [0.7]
benign neoplasm of other and unspecified endocrine glands,endocrine neoplasm,disease,benign neoplasm of sebaceous gland (>100) [0.35],endocrine system disease (>100) [0.6],benign endocrine neoplasm (>100) [0.83],benign neoplasm of sweat gland (>100) [0.36],benign endocrine neoplasm (>100) [0.83],benign endocrine neoplasm (>100) [0.83],benign endocrine neoplasm (>100) [0.83],benign neoplasm of adrenal gland (>100) [0.59],benign endocrine neoplasm (2) [0.83]
malignant neoplasm of colon,colon carcinoma,disease,malignant ear neoplasm (>100) [0.27],malignant colon neoplasm (>100) [0.86],malignant colon neoplasm (>100) [0.86],malignant colon neoplasm (25) [0.86],malignant colon neoplasm (5) [0.86],malignant colon neoplasm (>100) [0.86],metastatic malignant neoplasm in the colon (83) [0.29],malignant colon neoplasm (>100) [0.86],epithelial tumor of colon (5) [0.68]
coalworker s pneumoconiosis,anthracosis,disease,pneumoconiosis (>100) [0.94],asbestosis (>100) [0.89],pneumoconiosis (30) [0.94],cyanophage s-bnm1 (>100) [0.05],arabidopsis lyrata (>100) [0.04],pneumoconiosis (>100) [0.94],pneumoconiosis (8) [0.94],pneumoconiosis (>100) [0.94],pneumoconiosis (>100) [0.94]
colitis/not crohns or ulcerative colitis,colitis,disease,dysplasia in ulcerative colitis (>100) [0.3],ulcerative colitis (>100) [0.94],ulcerative colitis (4) [0.94],collagenous colitis (2) [0.89],crohn's colitis (5) [0.67],crohn's colitis (>100) [0.67],ulcerative colitis (12) [0.94],crohn's colitis (55) [0.67],ulcerative colitis (2) [0.94]
