PROPERTY TYPE	PROPERTY VALUE	ONTOLOGY TERM LABEL(S)	ONTOLOGY TERM SYNONYM(S)	CONFIDENCE	ONTOLOGY TERM(S)	ONTOLOGY(S)	SOURCE(S)	STUDY
[NO TYPE]	Sequelae of injuries involving multiple and unspecified body regions	osteomyelitis		Medium	EFO_0003102	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Sequelae of injuries involving multiple and unspecified body regions	Hodgkins lymphoma		Medium	EFO_0000183	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Sequelae of other effects of external causes	cardiovascular disease		Good	EFO_0000319	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Sequelae of other effects of external causes	cardiovascular disease		Good	EFO_0000319	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other injuries of spine and trunk level unspecified	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Personal history of malignant neoplasm	family history of cancer		Medium	EFO_0009640	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Personal history of malignant neoplasm	neoplasm		Medium	EFO_0000616	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Seropositive rheumatoid arthritis	juvenile idiopathic arthritis		Medium	EFO_0002609	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Seropositive rheumatoid arthritis	rheumatoid arthritis		Medium	EFO_0000685	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hypertrophic disorders of skin	skin disease		Medium	EFO_0000701	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hypertrophic disorders of skin	inflammatory skin disease		Medium	EFO_1000636	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other infestations	tick infestation		Good	EFO_0007508	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Fibrosis and cirrhosis of liver	cirrhosis of liver		Good	EFO_0001422	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Polyarthrosis	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Supervision of normal pregnancy	pregnancy disorder		Good	EFO_0009682	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Unspecified contracted kidney	renal cell adenocarcinoma		Good	EFO_0005708	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Infections of genitourinary tract in pregnancy	autoimmune disease of urogenital tract		Medium	MONDO_0000601	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Infections of genitourinary tract in pregnancy	Recurrent infection of the gastrointestinal tract		Medium	HP_0004798	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Sequelae of cerebrovascular disease	basal ganglia cerebrovascular disease		Medium	EFO_1000640	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Sequelae of cerebrovascular disease	cerebrovascular disorder		Medium	EFO_0003763	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other acute ischaemic heart diseases	cardiovascular disease		Medium	EFO_0000319	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other acute ischaemic heart diseases	heart disease		Medium	EFO_0003777	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Complications and ill defined descriptions of heart disease	cardiovascular disease		Good	EFO_0000319	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Osteoporosis in diseases classified elsewhere	cardiomyopathy		Medium	EFO_0000318	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Osteoporosis in diseases classified elsewhere	respiratory system disease		Medium	EFO_0000684	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Mental and behavioural disorders due to use of sedatives or hypnotics	mental or behavioural disorder		Medium	EFO_0000677	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Mental and behavioural disorders due to use of sedatives or hypnotics	mental or behavioural disorder biomarker		Medium	EFO_0006848	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Mental and behavioural disorders due to use of hallucinogens	mental or behavioural disorder		Medium	EFO_0000677	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Mental and behavioural disorders due to use of hallucinogens	mental or behavioural disorder biomarker		Medium	EFO_0006848	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Mental and behavioural disorders due to use of volatile solvents	mental or behavioural disorder		Medium	EFO_0000677	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Mental and behavioural disorders due to use of volatile solvents	mental or behavioural disorder biomarker		Medium	EFO_0006848	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Fracture of lumbar spine and pelvis	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hereditary and idiopathic neuropathy	essential thrombocythemia		Good	EFO_0000479	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Osteopathies in diseases classified elsewhere	cardiomyopathy		Medium	EFO_0000318	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Osteopathies in diseases classified elsewhere	respiratory system disease		Medium	EFO_0000684	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other extrapyramidal and movement disorders	extrapyramidal and movement disease		Good	MONDO_0001815	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other congenital musculoskeletal deformities	Congenital deformities of fingers		Medium	Orphanet_294947	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other congenital musculoskeletal deformities	Congenital deformities of limbs		Medium	Orphanet_294944	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Carrier of infectious disease	central nervous system infection		Good	EFO_1001456	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Premature rupture of membranes	Premature rupture of membranes		Good	HP_0001788	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Anogenital herpesviral infection	anogenital venereal wart		Good	EFO_0007147	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Postinfective and reactive arthropathies in diseases classified elsewhere	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Early syphilis	syphilis		Medium	EFO_0007504	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Early syphilis	latent syphilis		Medium	EFO_0007340	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Sequelae of toxic effects of substances chiefly nonmedicinal as to source	Corneal astigmatism		Medium	EFO_1002040	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Sequelae of toxic effects of substances chiefly nonmedicinal as to source	heavy metal poisoning		Medium	EFO_1001518	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Subclinical iodine deficiency hypothyroidism	Iodine Deficiency Hypothyroidism		Good	EFO_0008614	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Disorders of vitreous body and globe in diseases classified elsewhere	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Polyarteritis nodosa and related conditions	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Respiratory tuberculosis not confimed	respiratory system disease		Good	EFO_0000684	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Disorders of conjunctiva in diseases classified elsewhere	respiratory system disease		Medium	EFO_0000684	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Disorders of conjunctiva in diseases classified elsewhere	cardiomyopathy		Medium	EFO_0000318	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Congenital deformities of hip	Congenital deformities of limbs		Medium	Orphanet_294944	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Congenital deformities of hip	Congenital deformities of fingers		Medium	Orphanet_294947	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Neonatal jaundice from other causes	neonatal jaundice		Good	EFO_1000739	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Urethral stricture	Urethral stricture		Good	HP_0012227	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other specific arthropathies	Other genetic epidermal disease		Medium	Orphanet_79360	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other specific arthropathies	Other metabolic disease		Medium	Orphanet_91088	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Conductive and sensorineural hearing loss	hearing loss, mixed conductive-sensorineural		Medium	MONDO_0044001	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Conductive and sensorineural hearing loss	X-linked mixed deafness with perilymphatic gusher		Medium	Orphanet_383	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	other injuries of shoulder and upper arm	osteomyelitis		Good	EFO_0003102	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Effects of heat and light	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other disorders of middle ear and mastoid	cholesteatoma of middle ear		Medium	EFO_1000678	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other disorders of middle ear and mastoid	auditory system disease		Medium	EFO_1001455	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Atypical virus infections of CNS	atypical teratoid rhabdoid tumor		Good	EFO_1002008	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Female genital prolapse	female genital tuberculosis		Medium	EFO_1000935	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Female genital prolapse	Genital neoplasm, female		Medium	EFO_1001331	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Dentofacial anomalies	Müllerian duct anomalies - limb anomalies		Medium	Orphanet_2491	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Dentofacial anomalies	Syngnathia multiple anomalies		Medium	Orphanet_3262	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Cleft palate with cleft lip	Auricular abnormalities - cleft lip with or without cleft palate - ocular abnormalities		Medium	Orphanet_77300	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Cleft palate with cleft lip	Cleft lip/palate - ectodermal dysplasia		Medium	Orphanet_320317	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Congenital malformations of nose	Abnormality of cardiovascular system morphology		Medium	HP_0030680	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Congenital malformations of nose	Wide nose		Medium	HP_0000445	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Disorders of refraction and accommodation	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Congenital malformations of gallbladder bile ducts and liver	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Obstructed labour due to maternal pelvic abnormality	Angelman syndrome due to maternal 15q11q13 deletion		Medium	Orphanet_98794	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Obstructed labour due to maternal pelvic abnormality	Silver-Russell syndrome due to maternal uniparental disomy of chromosome 11		Medium	Orphanet_231147	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Abnormal findings in specimens from respiratory organs and thorax	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Congenital malformations of lung	Abnormality of cardiovascular system morphology		Medium	HP_0030680	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Congenital malformations of lung	congenital heart defects and skeletal malformations syndrome		Medium	MONDO_0060532	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other congenital malformations of peripheral vascular system	Abnormality of cardiovascular system morphology		Medium	HP_0030680	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other congenital malformations of peripheral vascular system	Remnants of the hyaloid vascular system		Medium	HP_0007968	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Varicose veins of lower extremities	Varicose veins		Medium	HP_0002619	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Varicose veins of lower extremities	Distal sensory impairment		Medium	HP_0002936	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Varicose veins of other sites	Varicose veins		Medium	HP_0002619	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Varicose veins of other sites	pelvic varices		Medium	MONDO_0004869	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Acute lymphadenitis	lymphadenitis (disease)		Good	MONDO_0002052	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other abnormal findings in urine	Abnormal urine potassium concentration		Medium	HP_0012598	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other abnormal findings in urine	Hematuria		Medium	HP_0000790	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Unspecified abdominal hernia	ventral hernia		Good	EFO_1001866	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Unspecified viral hepatitis	animal viral hepatitis		Medium	EFO_0007540	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Unspecified viral hepatitis	viral human hepatitis infection		Medium	EFO_0004196	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other congenital malformations of digestive system	digestive system disease		Good	EFO_0000405	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other congenital malformations of circulatory system	congenital anomaly of cardiovascular system		Medium	MONDO_0024239	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other congenital malformations of circulatory system	Abnormality of cardiovascular system morphology		Medium	HP_0030680	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other congenital malformations of skin	large congenital melanocytic nevus		Medium	MONDO_0044792	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other congenital malformations of skin	Abnormality of cardiovascular system morphology		Medium	HP_0030680	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Pneumoconiosis due to other inorganic dusts	silicosis		Medium	EFO_0007485	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Pneumoconiosis due to other inorganic dusts	respiratory system disease		Medium	EFO_0000684	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Corns and callosities	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Disorders of lacrimal system and orbit in diseases classified elsewhere	parasitic infection		Good	EFO_0001067	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Alzheimer s disease	late-onset Alzheimers disease		Good	EFO_1001870	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Endocarditis valve unspecified	endocarditis		Good	EFO_0000465	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Family history of other conditions	family history of breast cancer		Medium	EFO_0005606	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Family history of other conditions	family history of cancer		Medium	EFO_0009640	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Unspecified maternal hypertension	hypertension		Medium	EFO_0000537	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Unspecified maternal hypertension	preeclampsia		Medium	EFO_0000668	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Stroke not specified as haemorrhage or infarction	stroke		Medium	EFO_0000712	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Stroke not specified as haemorrhage or infarction	Chronic Eosinophilic Leukemia, Not Otherwise Specified		Medium	EFO_1000178	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Subarachnoid haemorrhage	subarachnoid hemorrhage		Good	EFO_0000713	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Unspecified human immunodeficiency virus	HIV infection		Good	EFO_0000764	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
