efo.type,efo.value,efo.id
typed-literal,Eukaryota,http://purl.obolibrary.org/obo/NCBITaxon_2759
typed-literal,Entamoeba histolytica,http://purl.obolibrary.org/obo/NCBITaxon_5759
typed-literal,Oryctolagus cuniculus,http://purl.obolibrary.org/obo/NCBITaxon_9986
typed-literal,Macropus eugenii,http://purl.obolibrary.org/obo/NCBITaxon_9315
typed-literal,Hippoglossus hippoglossus,http://purl.obolibrary.org/obo/NCBITaxon_8267
typed-literal,Brugia malayi,http://purl.obolibrary.org/obo/NCBITaxon_6279
typed-literal,Strongylocentrotus purpuratus,http://purl.obolibrary.org/obo/NCBITaxon_7668
typed-literal,Oncorhynchus mykiss,http://purl.obolibrary.org/obo/NCBITaxon_8022
typed-literal,Aedes aegypti,http://purl.obolibrary.org/obo/NCBITaxon_7159
typed-literal,Toxoplasma gondii,http://purl.obolibrary.org/obo/NCBITaxon_5811
typed-literal,Leishmania major,http://purl.obolibrary.org/obo/NCBITaxon_5664
typed-literal,Anopheles gambiae,http://purl.obolibrary.org/obo/NCBITaxon_7165
typed-literal,Capra hircus,http://purl.obolibrary.org/obo/NCBITaxon_9925
typed-literal,Schistosoma japonicum,http://purl.obolibrary.org/obo/NCBITaxon_6182
typed-literal,Trypanosoma brucei brucei,http://purl.obolibrary.org/obo/NCBITaxon_5702
typed-literal,Cryptococcus neoformans var. neoformans,http://purl.obolibrary.org/obo/NCBITaxon_40410
typed-literal,Trypanosoma cruzi,http://purl.obolibrary.org/obo/NCBITaxon_5693
typed-literal,Pristionchus pacificus,http://purl.obolibrary.org/obo/NCBITaxon_54126
typed-literal,Salmo salar,http://purl.obolibrary.org/obo/NCBITaxon_8030
typed-literal,Dictyostelium discoideum,http://purl.obolibrary.org/obo/NCBITaxon_44689
typed-literal,Rhipicephalus microplus,http://purl.obolibrary.org/obo/NCBITaxon_6941
typed-literal,Litopenaeus vannamei,http://purl.obolibrary.org/obo/NCBITaxon_6689
typed-literal,Xenopus laevis,http://purl.obolibrary.org/obo/NCBITaxon_8355
typed-literal,Biomphalaria glabrata,http://purl.obolibrary.org/obo/NCBITaxon_6526
typed-literal,Cyprinus carpio,http://purl.obolibrary.org/obo/NCBITaxon_7962
typed-literal,Petromyzon marinus,http://purl.obolibrary.org/obo/NCBITaxon_7757
typed-literal,Laccaria bicolor,http://purl.obolibrary.org/obo/NCBITaxon_29883
typed-literal,Ciona intestinalis,http://purl.obolibrary.org/obo/NCBITaxon_7719
typed-literal,Trypanosoma brucei,http://purl.obolibrary.org/obo/NCBITaxon_5691
typed-literal,Cricetulus griseus,http://purl.obolibrary.org/obo/NCBITaxon_10029
typed-literal,Felis catus,http://purl.obolibrary.org/obo/NCBITaxon_9685
typed-literal,Meleagris gallopavo,http://purl.obolibrary.org/obo/NCBITaxon_9103
typed-literal,Oreochromis niloticus,http://purl.obolibrary.org/obo/NCBITaxon_8128
typed-literal,Oryzias latipes,http://purl.obolibrary.org/obo/NCBITaxon_8090
typed-literal,Manduca sexta,http://purl.obolibrary.org/obo/NCBITaxon_7130
typed-literal,Giardia intestinalis,http://purl.obolibrary.org/obo/NCBITaxon_5741
typed-literal,Penaeus monodon,http://purl.obolibrary.org/obo/NCBITaxon_6687
typed-literal,Theileria parva,http://purl.obolibrary.org/obo/NCBITaxon_5875
typed-literal,Pyropia yezoensis,http://purl.obolibrary.org/obo/NCBITaxon_2788
typed-literal,Euphausia superba,http://purl.obolibrary.org/obo/NCBITaxon_6819
typed-literal,Ictalurus punctatus,http://purl.obolibrary.org/obo/NCBITaxon_7998
typed-literal,Bubalus bubalis,http://purl.obolibrary.org/obo/NCBITaxon_89462
typed-literal,Bombyx mori,http://purl.obolibrary.org/obo/NCBITaxon_7091
typed-literal,Neospora caninum,http://purl.obolibrary.org/obo/NCBITaxon_29176
typed-literal,Haemonchus contortus,http://purl.obolibrary.org/obo/NCBITaxon_6289
typed-literal,Poecilia reticulata,http://purl.obolibrary.org/obo/NCBITaxon_8081
typed-literal,Paxillus involutus,http://purl.obolibrary.org/obo/NCBITaxon_71150
typed-literal,Litomosoides sigmodontis,http://purl.obolibrary.org/obo/NCBITaxon_42156
typed-literal,Heterodera glycines,http://purl.obolibrary.org/obo/NCBITaxon_51029
typed-literal,Brugia pahangi,http://purl.obolibrary.org/obo/NCBITaxon_6280
typed-literal,"Ehlers-Danlos syndrome, dermatosparaxis type",http://www.orpha.net/ORDO/Orphanet_1901
typed-literal,Ehlers-Danlos syndrome,http://www.orpha.net/ORDO/Orphanet_98249
typed-literal,P3HR1,http://www.ebi.ac.uk/efo/EFO_0002312
typed-literal,Burkitt lymphoma cell,http://purl.obolibrary.org/obo/BTO_0000164
typed-literal,NAMALWA,http://www.ebi.ac.uk/efo/EFO_0002246
typed-literal,NC37,http://www.ebi.ac.uk/efo/EFO_0002247
typed-literal,Daudi,http://www.ebi.ac.uk/efo/EFO_0002169
typed-literal,SW48,http://www.ebi.ac.uk/efo/EFO_0002367
typed-literal,colonic cancer cell line,http://purl.obolibrary.org/obo/BTO_0000797
typed-literal,Caco-2,http://www.ebi.ac.uk/efo/EFO_0001099
typed-literal,LS174T,http://www.ebi.ac.uk/efo/EFO_0002227
typed-literal,colorectal cancer cell line,http://purl.obolibrary.org/obo/BTO_0001616
typed-literal,Classic galactosemia,http://www.orpha.net/ORDO/Orphanet_79239
typed-literal,Galactosemia,http://www.orpha.net/ORDO/Orphanet_352
typed-literal,fibroblast derived cell line,http://www.ebi.ac.uk/efo/EFO_0002009
typed-literal,Refsum disease,http://www.orpha.net/ORDO/Orphanet_773
typed-literal,Autosomal recessive congenital ichthyosis,http://www.orpha.net/ORDO/Orphanet_281097
typed-literal,Lamellar ichthyosis,http://www.orpha.net/ORDO/Orphanet_313
typed-literal,Synaptic congenital myasthenic syndromes,http://www.orpha.net/ORDO/Orphanet_98915
typed-literal,Congenital myasthenic syndromes,http://www.orpha.net/ORDO/Orphanet_590
typed-literal,Brassica napus,http://purl.obolibrary.org/obo/NCBITaxon_3708
typed-literal,Viridiplantae,http://purl.obolibrary.org/obo/NCBITaxon_33090
typed-literal,Ricinus communis,http://purl.obolibrary.org/obo/NCBITaxon_3988
typed-literal,Nicotiana tabacum,http://purl.obolibrary.org/obo/NCBITaxon_4097
typed-literal,Gossypium hirsutum,http://purl.obolibrary.org/obo/NCBITaxon_3635
typed-literal,Brassica rapa,http://purl.obolibrary.org/obo/NCBITaxon_3711
typed-literal,Pisum sativum,http://purl.obolibrary.org/obo/NCBITaxon_3888
typed-literal,Citrus sinensis,http://purl.obolibrary.org/obo/NCBITaxon_2711
typed-literal,Pinus radiata,http://purl.obolibrary.org/obo/NCBITaxon_3347
typed-literal,Avena sativa,http://purl.obolibrary.org/obo/NCBITaxon_4498
typed-literal,Allium cepa,http://purl.obolibrary.org/obo/NCBITaxon_4679
typed-literal,Capsicum annuum,http://purl.obolibrary.org/obo/NCBITaxon_4072
typed-literal,Lotus japonicus,http://purl.obolibrary.org/obo/NCBITaxon_34305
typed-literal,Picea abies,http://purl.obolibrary.org/obo/NCBITaxon_3329
typed-literal,Malus x domestica,http://purl.obolibrary.org/obo/NCBITaxon_3750
typed-literal,Fragaria x ananassa,http://purl.obolibrary.org/obo/NCBITaxon_3747
typed-literal,Brassica rapa subsp. pekinensis,http://purl.obolibrary.org/obo/NCBITaxon_51351
typed-literal,Medicago sativa,http://purl.obolibrary.org/obo/NCBITaxon_3879
typed-literal,Populus tremula x Populus tremuloides,http://purl.obolibrary.org/obo/NCBITaxon_47664
typed-literal,Silene latifolia,http://purl.obolibrary.org/obo/NCBITaxon_37657
typed-literal,Manihot esculenta,http://purl.obolibrary.org/obo/NCBITaxon_3983
typed-literal,Syntrichia ruralis,http://purl.obolibrary.org/obo/NCBITaxon_38588
typed-literal,Chlamydomonas reinhardtii,http://purl.obolibrary.org/obo/NCBITaxon_3055
typed-literal,Phaseolus vulgaris,http://purl.obolibrary.org/obo/NCBITaxon_3885
typed-literal,Vigna unguiculata,http://purl.obolibrary.org/obo/NCBITaxon_3917
typed-literal,Cucumis sativus,http://purl.obolibrary.org/obo/NCBITaxon_3659
typed-literal,Brassica juncea,http://purl.obolibrary.org/obo/NCBITaxon_3707
typed-literal,Gossypium arboreum,http://purl.obolibrary.org/obo/NCBITaxon_29729
typed-literal,Eucalyptus globulus,http://purl.obolibrary.org/obo/NCBITaxon_34317
typed-literal,Nicotiana benthamiana,http://purl.obolibrary.org/obo/NCBITaxon_4100
typed-literal,Bruguiera gymnorhiza,http://purl.obolibrary.org/obo/NCBITaxon_39984
typed-literal,Marfan syndrome,http://www.orpha.net/ORDO/Orphanet_558
typed-literal,Rare disease with thoracic aortic aneurysm and aortic dissection,http://www.orpha.net/ORDO/Orphanet_285014
typed-literal,Aspergillus niger,http://purl.obolibrary.org/obo/NCBITaxon_5061
typed-literal,Ascomycota,http://purl.obolibrary.org/obo/NCBITaxon_4890
typed-literal,Emericella nidulans,http://purl.obolibrary.org/obo/NCBITaxon_162425
typed-literal,Magnaporthe grisea,http://purl.obolibrary.org/obo/NCBITaxon_148305
typed-literal,Neurospora crassa,http://purl.obolibrary.org/obo/NCBITaxon_5141
typed-literal,Candida albicans,http://purl.obolibrary.org/obo/NCBITaxon_5476
typed-literal,Ajellomyces capsulatus,http://purl.obolibrary.org/obo/NCBITaxon_5037
typed-literal,Zymoseptoria tritici,http://purl.obolibrary.org/obo/NCBITaxon_1047171
typed-literal,Metarhizium anisopliae,http://purl.obolibrary.org/obo/NCBITaxon_5530
typed-literal,congenital left-sided heart lesions,http://www.ebi.ac.uk/efo/EFO_0005938
typed-literal,congenital heart malformation,http://www.ebi.ac.uk/efo/EFO_0005269
typed-literal,Glycogen storage disease due to acid maltase deficiency,http://www.orpha.net/ORDO/Orphanet_365
typed-literal,Glycogen storage disease,http://www.orpha.net/ORDO/Orphanet_79201
typed-literal,seed structure,http://www.ebi.ac.uk/efo/EFO_0000991
typed-literal,plant anatomical entity,http://purl.obolibrary.org/obo/PO_0025131
typed-literal,Caenorhabditis briggsae,http://purl.obolibrary.org/obo/NCBITaxon_6238
typed-literal,Caenorhabditis,http://purl.obolibrary.org/obo/NCBITaxon_6237
typed-literal,Homo sapiens cell line,http://www.ebi.ac.uk/efo/EFO_0002888
typed-literal,HuT78,http://www.ebi.ac.uk/efo/EFO_0002209
typed-literal,HUVEC cell line,http://www.ebi.ac.uk/efo/EFO_0002795
typed-literal,Jurkat,http://www.ebi.ac.uk/efo/EFO_0002796
typed-literal,MOLT-4,http://www.ebi.ac.uk/efo/EFO_0001220
typed-literal,NALM6,http://www.ebi.ac.uk/efo/EFO_0002245
typed-literal,PC-3,http://www.ebi.ac.uk/efo/EFO_0002074
typed-literal,THP-1,http://www.ebi.ac.uk/efo/EFO_0001253
typed-literal,SR,http://www.ebi.ac.uk/efo/EFO_0002352
typed-literal,lymphoma or leukaemia cell line,http://www.ebi.ac.uk/efo/EFO_0002937
typed-literal,mycelium,http://purl.obolibrary.org/obo/BTO_0001436
typed-literal,fungal component,http://www.ebi.ac.uk/efo/EFO_0000788
typed-literal,epithelial cell derived cell line,http://www.ebi.ac.uk/efo/EFO_0001641
typed-literal,B cell derived cell line,http://www.ebi.ac.uk/efo/EFO_0001640
typed-literal,vascular smooth muscle cell,http://purl.obolibrary.org/obo/BTO_0004578
typed-literal,musculo-skeletal system cell,http://www.ebi.ac.uk/efo/EFO_0002956
typed-literal,Truncus arteriosus,http://purl.obolibrary.org/obo/HP_0001660
typed-literal,Abnormality of the vasculature,http://purl.obolibrary.org/obo/HP_0002597
typed-literal,Huntington disease,http://www.orpha.net/ORDO/Orphanet_399
typed-literal,Huntington disease and related disorders,http://purl.obolibrary.org/obo/MONDO_0000167
typed-literal,Pelizaeus-Merzbacher disease,http://www.orpha.net/ORDO/Orphanet_702
typed-literal,Genetic neurodegenerative disease,http://www.orpha.net/ORDO/Orphanet_183500
typed-literal,X-linked adrenoleukodystrophy,http://www.orpha.net/ORDO/Orphanet_43
typed-literal,Primary lateral sclerosis,http://www.orpha.net/ORDO/Orphanet_35689
typed-literal,Congenital factor VII deficiency,http://www.orpha.net/ORDO/Orphanet_327
typed-literal,Congenital vitamin K-dependent coagulation factors deficiency,http://www.orpha.net/ORDO/Orphanet_169826
typed-literal,Holocarboxylase synthetase deficiency,http://www.orpha.net/ORDO/Orphanet_79242
typed-literal,metabolic epilepsy,http://purl.obolibrary.org/obo/MONDO_0100033
typed-literal,Von Hippel-Lindau disease,http://www.orpha.net/ORDO/Orphanet_892
typed-literal,congenital nervous system disorder,http://purl.obolibrary.org/obo/MONDO_0002320
typed-literal,Multiple sulfatase deficiency,http://www.orpha.net/ORDO/Orphanet_585
typed-literal,Cornelia de Lange syndrome,http://www.orpha.net/ORDO/Orphanet_199
typed-literal,Zellweger syndrome,http://www.orpha.net/ORDO/Orphanet_912
typed-literal,Leber hereditary optic neuropathy,http://www.orpha.net/ORDO/Orphanet_104
typed-literal,Aspartylglucosaminuria,http://www.orpha.net/ORDO/Orphanet_93
typed-literal,Turner syndrome,http://www.orpha.net/ORDO/Orphanet_881
typed-literal,Gorlin syndrome,http://www.orpha.net/ORDO/Orphanet_377
typed-literal,Genetic motor neuron disease,http://www.orpha.net/ORDO/Orphanet_98505
typed-literal,Achondroplasia,http://www.orpha.net/ORDO/Orphanet_15
typed-literal,osteochondrodysplasia,http://www.ebi.ac.uk/efo/EFO_0005571
typed-literal,Juvenile myoclonic epilepsy,http://www.orpha.net/ORDO/Orphanet_307
typed-literal,childhood electroclinical syndrome,http://purl.obolibrary.org/obo/MONDO_0000414
typed-literal,adolescence-adult electroclinical syndrome,http://purl.obolibrary.org/obo/MONDO_0000415
typed-literal,X-linked disease,http://purl.obolibrary.org/obo/MONDO_0000425
typed-literal,Choroideremia,http://www.orpha.net/ORDO/Orphanet_180
typed-literal,Holt-Oram syndrome,http://www.orpha.net/ORDO/Orphanet_392
typed-literal,autosomal dominant disease,http://purl.obolibrary.org/obo/MONDO_0000426
typed-literal,Denys-Drash syndrome,http://www.orpha.net/ORDO/Orphanet_220
typed-literal,Hypophosphatasia,http://www.orpha.net/ORDO/Orphanet_436
typed-literal,Cystic fibrosis,http://www.orpha.net/ORDO/Orphanet_586
typed-literal,autosomal recessive disease,http://www.ebi.ac.uk/efo/EFO_1000017
typed-literal,ICF syndrome,http://www.orpha.net/ORDO/Orphanet_2268
typed-literal,Bardet-Biedl syndrome,http://www.orpha.net/ORDO/Orphanet_110
typed-literal,Nijmegen breakage syndrome,http://www.orpha.net/ORDO/Orphanet_647
typed-literal,Fraser syndrome,http://www.orpha.net/ORDO/Orphanet_2052
typed-literal,Phenylketonuria,http://www.orpha.net/ORDO/Orphanet_716
typed-literal,Leprechaunism,http://www.orpha.net/ORDO/Orphanet_508
typed-literal,Bloom syndrome,http://www.orpha.net/ORDO/Orphanet_125
typed-literal,Seckel syndrome,http://www.orpha.net/ORDO/Orphanet_808
typed-literal,Sickle cell anemia,http://www.orpha.net/ORDO/Orphanet_232
typed-literal,Cerebral organic aciduria,http://www.orpha.net/ORDO/Orphanet_79158
typed-literal,Genetic cardiac rhythm disease,http://www.orpha.net/ORDO/Orphanet_101934
typed-literal,syndromic intellectual disability,http://purl.obolibrary.org/obo/MONDO_0000508
typed-literal,Holoprosencephaly,http://www.orpha.net/ORDO/Orphanet_2162
typed-literal,Progressive supranuclear palsy,http://www.orpha.net/ORDO/Orphanet_683
typed-literal,syndromic disease,http://purl.obolibrary.org/obo/MONDO_0002254
typed-literal,Progressive familial intrahepatic cholestasis,http://www.orpha.net/ORDO/Orphanet_172
typed-literal,Hermansky-Pudlak syndrome,http://www.orpha.net/ORDO/Orphanet_79430
typed-literal,Dyggve-Melchior-Clausen disease,http://www.orpha.net/ORDO/Orphanet_239
typed-literal,Hurler syndrome,http://www.orpha.net/ORDO/Orphanet_93473
typed-literal,congenital anemia,http://purl.obolibrary.org/obo/MONDO_0000577
typed-literal,congenital hematological disorder,http://purl.obolibrary.org/obo/MONDO_0009332
typed-literal,peripheral nervous system disease,http://www.ebi.ac.uk/efo/EFO_0009387
typed-literal,Rett syndrome,http://www.orpha.net/ORDO/Orphanet_778
typed-literal,pervasive developmental disorder,http://purl.obolibrary.org/obo/MONDO_0000594
typed-literal,Prader-Willi syndrome,http://www.orpha.net/ORDO/Orphanet_739
typed-literal,complex neurodevelopmental disorder,http://purl.obolibrary.org/obo/MONDO_0100038
typed-literal,nervous system neoplasm,http://purl.obolibrary.org/obo/MONDO_0021248
typed-literal,Chromosomal anomaly,http://www.orpha.net/ORDO/Orphanet_68335
typed-literal,spondyloepimetaphyseal dysplasia,http://purl.obolibrary.org/obo/MONDO_0000844
typed-literal,Nemaline myopathy,http://www.orpha.net/ORDO/Orphanet_607
typed-literal,Congenital myopathy,http://www.orpha.net/ORDO/Orphanet_97245
typed-literal,eye degenerative disease,http://purl.obolibrary.org/obo/MONDO_0004884
typed-literal,Tay-Sachs disease,http://www.orpha.net/ORDO/Orphanet_845
typed-literal,Sandhoff disease,http://www.orpha.net/ORDO/Orphanet_796
typed-literal,Wilson disease,http://www.orpha.net/ORDO/Orphanet_905
typed-literal,inborn metal metabolism disorder,http://purl.obolibrary.org/obo/MONDO_0004689
typed-literal,caudal fin,http://purl.obolibrary.org/obo/UBERON_4000164
typed-literal,fin,http://purl.obolibrary.org/obo/UBERON_0008897
typed-literal,optic choroid disease,http://purl.obolibrary.org/obo/MONDO_0001898
typed-literal,Hypertrichosis,http://www.orpha.net/ORDO/Orphanet_79365
typed-literal,Familial lipoprotein lipase deficiency,http://www.orpha.net/ORDO/Orphanet_309015
typed-literal,familial hyperlipidemia,http://purl.obolibrary.org/obo/MONDO_0001336
typed-literal,leukocyte disease,http://purl.obolibrary.org/obo/MONDO_0004805
typed-literal,inherited aplastic anemia,http://purl.obolibrary.org/obo/MONDO_0001713
typed-literal,gonadal dysgenesis,http://purl.obolibrary.org/obo/MONDO_0001967
typed-literal,Methylmalonic acidemia with homocystinuria,http://www.orpha.net/ORDO/Orphanet_26
typed-literal,methylmalonic acidemia,http://purl.obolibrary.org/obo/MONDO_0002012
typed-literal,neuroendocrine carcinoma,http://purl.obolibrary.org/obo/MONDO_0002120
typed-literal,Mucopolysaccharidosis type 7,http://www.orpha.net/ORDO/Orphanet_584
typed-literal,disease of catalytic activity,http://purl.obolibrary.org/obo/MONDO_0044976
typed-literal,factor VII deficiency,http://purl.obolibrary.org/obo/MONDO_0002244
typed-literal,Inborn errors of metabolism,http://www.orpha.net/ORDO/Orphanet_68367
typed-literal,Ataxia-telangiectasia,http://www.orpha.net/ORDO/Orphanet_100
typed-literal,neurovascular disease,http://purl.obolibrary.org/obo/MONDO_0043218
typed-literal,cartilage disease,http://www.ebi.ac.uk/efo/EFO_0005802
typed-literal,Nephroblastoma,http://www.orpha.net/ORDO/Orphanet_654
typed-literal,kidney cancer,http://purl.obolibrary.org/obo/MONDO_0002367
typed-literal,Porphyria cutanea tarda,http://www.orpha.net/ORDO/Orphanet_101330
typed-literal,dermatitis,http://purl.obolibrary.org/obo/MONDO_0002406
typed-literal,Disorder of bilirubin metabolism and excretion,http://www.orpha.net/ORDO/Orphanet_309816
typed-literal,Malignant Mixed Neoplasm,http://www.ebi.ac.uk/efo/EFO_1000356
typed-literal,embryonal neoplasm,http://www.ebi.ac.uk/efo/EFO_0005784
typed-literal,Beckwith-Wiedemann syndrome,http://www.orpha.net/ORDO/Orphanet_116
typed-literal,head and neck neoplasia,http://www.ebi.ac.uk/efo/EFO_0005950
typed-literal,Genetic skeletal muscle disease,http://www.orpha.net/ORDO/Orphanet_206634
typed-literal,congenital structural myopathy,http://purl.obolibrary.org/obo/MONDO_0002921
typed-literal,Genetic renal tumor,http://www.orpha.net/ORDO/Orphanet_183595
typed-literal,Syndromic agammaglobulinemia,http://www.orpha.net/ORDO/Orphanet_229720
